identifier,metric,found_hit,score
Q4UX85,1,YES,69.1
C1F3N6,1,YES,712.5
O42651,1,YES,32.7
Q87PC8,1,YES,11.2
Q9SCW5,1,YES,267.2
B1JRM9,1,YES,47.7
A1A3C8,1,YES,44.7
P23922,1,YES,312.4
C1ANS5,1,YES,174.9
A2T6W2,1,YES,804.1
C1AH01,1,YES,162.1
P18440,1,YES,541.4
O31472,1,YES,34.0
B1X736,1,YES,395.9
A8BM50,0,YES,76.5
Q1MRB9,1,YES,644.8
Q96N77,1,YES,543.5
Q5W1J6,1,YES,456.0
Q54HP1,1,YES,162.3
B5BH30,1,YES,66.5
A3PFJ4,1,YES,143.3
Q9UKW6,1,YES,223.2
P16639,0,NO,0.0
B8IS51,1,YES,267.7
B7LZL8,1,YES,71.7
A5FL19,0,NO,0.0
A7GEL1,1,YES,84.9
Q8PPB6,1,YES,81.5
Q5B8Y4,1,YES,127.5
A0AMC3,1,YES,165.9
Q2A220,0,NO,0.0
Q141D2,0,NO,0.0
Q17Z13,1,YES,289.5
B2SKP5,1,YES,304.1
A6WCT4,1,YES,230.5
Q9PWD5,1,YES,192.8
Q0D2J5,1,YES,769.5
P59496,1,YES,247.5
A2WWU2,1,YES,165.8
Q1KKR7,1,YES,133.1
Q9NW07,1,YES,1176.6
Q9PR16,1,YES,16.9
P48782,1,YES,21.1
Q65M01,1,YES,228.9
A1ARJ7,0,NO,0.0
P13682,1,YES,1040.9
O22174,1,YES,220.3
Q9SI96,1,YES,170.1
B0VBP7,1,YES,25.0
Q8EK20,1,YES,73.5
Q9S7L5,1,YES,89.7
P42131,0,NO,0.0
B8ZR43,1,YES,18.0
Q520U5,1,YES,31.5
F1QDF8,1,YES,406.9
C0Q071,1,YES,182.2
Q66CF1,0,NO,0.0
B5R270,1,YES,184.5
P64128,1,YES,144.9
Q6MX40,1,YES,21.9
A2RF78,1,YES,145.5
Q0I5X3,1,YES,677.5
Q049F3,1,YES,172.2
Q08865,1,YES,38.7
B7GHE3,1,YES,14.3
Q89707,0,NO,0.0
A8G7M4,1,YES,27.2
B2VCA4,1,YES,691.5
B6J3I1,1,YES,344.6
B2K469,1,YES,141.6
Q7MLX5,1,YES,84.0
Q28350,1,YES,969.8
C4K3S0,1,YES,301.0
Q39IF8,1,YES,88.3
Q2KU30,1,YES,21.7
A6LTR9,1,YES,73.8
Q871U2,1,YES,537.6
A8GDX7,0,NO,0.0
A8A3W5,1,YES,24.1
Q8QNT0,1,YES,213.3
Q834S1,1,YES,68.2
Q24XW2,1,YES,190.8
Q6BIJ0,1,YES,378.2
Q0VS11,1,YES,122.6
Q6EUN0,1,YES,486.6
Q602J1,1,YES,312.5
B1X8X0,0,NO,0.0
Q6P9G9,1,YES,804.1
Q0VNG4,1,YES,87.3
A0RL97,1,YES,634.5
Q5M5S6,0,YES,11.8
P64127,1,YES,144.9
P17444,0,YES,295.2
P60611,1,YES,535.9
A5FNY2,1,YES,49.7
Q5AB48,0,YES,153.7
Q6Z3U3,1,YES,709.0
Q6LUM6,1,YES,17.2
Q2HJ27,1,YES,934.4
Q95JC8,1,YES,217.7
Q6SR68,1,YES,767.6
P06894,1,YES,47.7
B1JQX0,1,YES,362.4
Q21QM7,1,YES,171.0
Q8XGJ8,1,YES,138.3
A7NFC5,1,YES,97.9
P0CF88,1,YES,239.7
Q67FQ3,1,YES,473.2
Q02526,1,YES,934.1
B7MHM1,1,YES,84.2
Q749Y6,1,YES,146.1
B7LNX6,1,YES,17.3
Q3ZC91,1,YES,375.6
F4IRW0,1,YES,251.2
Q5E9A7,0,YES,960.5
Q83M86,1,YES,787.5
F4IED2,1,YES,244.1
C4ZY59,0,YES,24.1
Q2G0P7,0,YES,16.9
B1JJI3,1,YES,133.9
P41151,1,YES,264.3
A1AQL6,1,YES,163.4
B7NNT3,1,YES,88.0
Q81SV6,1,YES,236.4
A1L1S5,1,YES,627.3
Q3IR98,1,YES,73.1
Q8Y5T0,1,YES,792.6
P0ABT0,0,NO,0.0
Q4JUK3,1,YES,82.0
Q39X06,1,YES,166.4
A1R705,1,YES,165.3
A5YM69,0,NO,0.0
B7GYK7,1,YES,410.9
P9WPU7,1,YES,611.2
Q92QT3,1,YES,134.1
Q57PU7,1,YES,91.9
C0PXU8,1,YES,83.7
Q5F8Z9,1,YES,608.8
Q2SKP1,1,YES,190.5
C3MHI8,1,YES,257.8
Q4JC71,1,YES,14.8
Q5JNZ3,1,YES,951.5
B4F0X6,1,YES,324.9
Q663Q7,1,YES,13.2
Q477Z4,1,YES,50.4
P28835,1,YES,441.2
Q1GI70,1,YES,180.8
A4J3N2,1,YES,151.1
Q9Z4S3,0,YES,28.1
Q9RFQ2,1,YES,125.3
Q9U6M2,0,YES,11.4
Q9LZK4,1,YES,229.3
C3LPC9,1,YES,126.8
B4TKR3,1,YES,66.5
A9IQH9,1,YES,142.5
P24061,1,YES,134.7
Q84WK0,1,YES,376.4
Q55GG6,1,YES,105.9
B8F7D1,1,YES,286.2
B1JRM5,1,YES,278.1
P28003,1,YES,25.8
Q2LUD6,1,YES,64.4
Q9A2H5,1,YES,122.7
B9KES0,0,NO,0.0
Q83HJ5,1,YES,59.3
A5UG10,1,YES,380.4
P29749,1,YES,29.9
Q5X4K4,1,YES,173.0
Q1GCM4,1,YES,141.6
A4TJU5,1,YES,193.9
B8GXL9,0,YES,12.8
Q9UL58,1,YES,684.6
A5G0G0,1,YES,339.9
C3NZR4,1,YES,144.2
Q6V9R5,1,YES,903.3
B3PLV5,1,YES,26.3
Q7CR17,1,YES,150.5
Q03PZ8,1,YES,14.0
A4D9P4,1,YES,52.4
P35064,1,YES,184.2
Q9S467,0,NO,0.0
Q43216,1,YES,168.7
A8LLT5,1,YES,176.4
Q6LAF3,1,YES,196.1
Q9H609,1,YES,181.1
Q2NVX7,1,YES,63.7
B7KT24,1,YES,288.5
Q04S17,0,NO,0.0
P63623,1,YES,12.3
Q0TTA0,1,YES,216.0
Q6GGG1,1,YES,57.7
Q84NJ4,1,YES,193.0
B5XM07,1,YES,132.7
B1B1A0,0,YES,666.2
Q86IH1,1,YES,55.6
Q6RUR1,1,YES,266.3
Q817G5,1,YES,193.3
Q47718,1,YES,64.4
P0A4U7,1,YES,75.1
Q4UQF0,1,YES,23.5
B5FJR0,1,YES,66.5
C3P3F2,1,YES,171.5
A9R515,1,YES,108.7
A1KVM5,1,YES,98.7
P23812,1,YES,81.9
A6S8P6,1,YES,14.9
Q11RG5,1,YES,70.4
Q89BP7,1,YES,302.3
Q7MY36,1,YES,328.8
O18746,0,YES,14.3
Q2FWE7,1,YES,44.8
P64272,1,YES,197.8
L7HZV6,1,YES,225.7
Q2I3H0,0,NO,0.0
Q9CHT5,1,YES,166.7
A5ISZ4,1,YES,97.5
Q9SPG9,1,YES,312.8
O46248,1,YES,170.1
Q0VCJ6,1,YES,957.8
O67828,1,YES,654.3
P52342,1,YES,706.5
Q162S7,1,YES,758.1
Q92G85,1,YES,46.9
P80240,1,YES,120.0
Q3MFQ9,1,YES,124.7
Q8SVT3,1,YES,57.5
Q74IB5,1,YES,173.5
A2BYH6,1,YES,710.5
A9L3U4,1,YES,183.2
Q4KC79,1,YES,14.3
Q12P04,1,YES,286.4
Q8YVQ0,1,YES,291.5
A9MJR9,1,YES,694.7
Q8BLB0,1,YES,1106.6
Q94NW9,0,NO,0.0
P57224,0,NO,0.0
Q47ZS6,1,YES,85.5
Q5N6V8,1,YES,312.6
Q5AVT9,0,NO,0.0
Q5ND04,1,YES,1175.3
Q5FIV8,1,YES,195.1
A6YGB6,1,YES,674.2
C3K084,1,YES,269.6
B9L5V9,0,NO,0.0
B2IDQ8,1,YES,278.0
Q84M98,1,YES,26.2
B7MS67,0,NO,0.0
Q8DKH7,1,YES,120.2
A2Z182,1,YES,73.0
A3Q3B5,1,YES,28.4
Q31YK0,0,NO,0.0
A2RU54,1,YES,152.7
A5E121,1,YES,499.2
P50465,1,YES,59.9
C1ES27,1,YES,437.1
P0AAF5,1,YES,430.4
Q9BQW3,1,YES,1304.4
Q06450,1,YES,53.5
B2SY63,1,YES,15.4
Q9Z1D8,1,YES,1500.7
Q5WAG6,1,YES,177.0
Q9XI36,1,YES,15.6
Q3KP31,1,YES,1021.6
B1WUI3,0,YES,13.6
Q1GZ15,1,YES,385.8
B1W3B3,0,YES,11.9
Q48KN0,1,YES,278.2
Q1BRA7,1,YES,38.3
P80357,0,NO,0.0
B8BLT3,1,YES,104.3
D0VYS2,1,YES,161.9
B7T1R7,1,YES,41.8
A1S264,1,YES,12.5
P52689,1,YES,152.3
Q3T035,0,NO,0.0
Q96KK5,1,YES,264.2
B4E7H2,1,YES,288.0
Q9P1U1,1,YES,264.1
Q59VY1,1,YES,42.5
A5VP02,1,YES,256.3
B5E676,0,NO,0.0
C3PFR5,1,YES,609.5
O68897,1,YES,39.0
A2BGA0,1,YES,1441.0
A8Z6C7,1,YES,615.5
B1IRB6,0,YES,10.9
Q1CIX9,0,NO,0.0
P31504,1,YES,197.5
A1RPR6,0,NO,0.0
Q469Z8,1,YES,13.9
Q6DEB4,1,YES,163.9
Q0VLB7,1,YES,319.6
P63603,1,YES,69.5
A1TD55,1,YES,603.5
Q46PI5,0,NO,0.0
A1VR71,1,YES,87.8
Q9NY43,1,YES,786.1
Q89B42,1,YES,47.1
A7Z726,1,YES,115.6
Q7N6D2,1,YES,80.0
Q92MJ1,1,YES,265.6
C4ZUP4,1,YES,395.9
B1LLK7,1,YES,185.3
P0C116,1,YES,44.0
P00888,0,NO,0.0
Q01RT6,1,YES,107.1
Q8EWT2,1,YES,156.0
Q7TSH3,1,YES,249.0
A0K2D5,1,YES,106.4
A1SL89,1,YES,57.8
Q49Z22,1,YES,156.2
P13346,1,YES,731.0
Q1QSC4,1,YES,14.1
A6M1Z5,1,YES,84.7
A7YWC4,1,YES,96.9
A4WTU0,1,YES,174.1
Q5F4Z2,1,YES,592.9
B2VJW8,1,YES,71.4
Q21IT4,1,YES,88.5
Q7ADE6,1,YES,202.3
A9JPE1,1,YES,136.3
Q11KE5,1,YES,263.1
P67179,1,YES,534.9
A8XL25,1,YES,701.7
P0AB91,0,NO,0.0
Q5NVA9,1,YES,1196.7
B8D742,1,YES,273.0
P07926,1,YES,236.4
B7NBP2,0,NO,0.0
B7IK28,1,YES,57.1
A5HY48,1,YES,30.7
Q0AAM1,1,YES,96.2
Q8EQB7,1,YES,226.1
P30756,1,YES,161.7
P59445,1,YES,14.4
Q6ZGL4,1,YES,129.8
Q1KKX0,1,YES,426.3
P09074,1,YES,151.5
P78411,1,YES,608.5
A6NNF4,1,YES,1166.2
A7KAL4,0,YES,12.5
O46256,1,YES,218.2
A9A8D7,1,YES,219.1
Q1QSC8,1,YES,596.4
Q5WED9,1,YES,46.5
Q3A9W5,0,NO,0.0
B6JD06,1,YES,776.1
Q8RD30,1,YES,21.2
P35183,1,YES,48.8
C3P1F7,1,YES,38.6
Q9J562,0,NO,0.0
A2T7J2,1,YES,78.7
Q6HDE6,1,YES,119.4
P81891,1,YES,17.2
A7GTR5,1,YES,12.1
B4RH54,1,YES,201.5
Q667F5,1,YES,14.0
P0CF40,1,YES,31.3
P59416,1,YES,393.1
B1LAX5,1,YES,109.7
P0C9Y7,1,YES,244.2
Q6HHF5,1,YES,180.3
Q9CNG4,1,YES,511.6
Q6TXF1,1,YES,447.4
B9DUY5,0,NO,0.0
P23372,0,NO,0.0
Q1JQA3,1,YES,362.8
Q9C670,1,YES,171.6
C4Z562,1,YES,318.7
Q9XUB2,1,YES,54.8
A6WV92,1,YES,137.9
C1AXW8,0,NO,0.0
Q3SNB4,1,YES,143.1
Q2FNC9,1,YES,277.2
B4EYQ7,1,YES,14.3
Q0V8G2,1,YES,700.5
B7VJZ6,1,YES,92.3
Q5XF85,1,YES,66.5
P51468,1,YES,713.8
A0L243,1,YES,72.9
Q5ZWN7,1,YES,428.8
C0RIP1,0,YES,12.8
Q9U2M8,1,YES,1709.3
P42267,0,NO,0.0
Q6GGU3,1,YES,155.1
A9L981,1,YES,831.4
A4SM83,1,YES,304.8
B4M7J1,1,YES,417.4
Q6GKC3,1,YES,342.3
P06513,1,YES,42.7
P15013,0,YES,20.0
A3MPY1,1,YES,417.3
A5AEC8,1,YES,211.2
Q8YET3,1,YES,135.4
Q9M0R0,1,YES,367.5
Q8NAF0,1,YES,322.6
Q0ZS22,1,YES,62.6
B4QEC4,1,YES,512.7
P28174,1,YES,94.7
P16400,1,YES,61.2
Q5RAM9,1,YES,1159.1
Q51LD2,0,NO,0.0
B7M1F9,0,NO,0.0
A7GSP5,1,YES,67.0
Q03SS5,1,YES,370.6
P48311,1,YES,307.9
P0ACH7,1,YES,101.8
Q9STJ6,1,YES,101.0
Q5MZY1,1,YES,303.4
C1C898,1,YES,17.9
Q7XI85,1,YES,78.7
Q3V548,0,YES,15.0
A6BM09,1,YES,695.8
Q477Z2,0,YES,12.2
A4GGB2,1,YES,815.4
P12426,1,YES,151.3
D3TQJ5,1,YES,529.5
P77581,1,YES,325.1
Q1QVK5,1,YES,85.7
P96582,1,YES,69.7
Q0III2,0,YES,105.4
Q5RCA4,1,YES,132.4
P34555,1,YES,43.9
Q4FVE5,1,YES,82.0
P24714,0,NO,0.0
P31339,1,YES,970.2
A0B8V5,1,YES,28.9
B1LVH2,1,YES,70.5
Q39BX5,1,YES,346.9
A5U315,0,YES,10.9
P0DOW4,0,NO,0.0
Q17GZ9,1,YES,148.6
Q6NCS7,0,YES,10.9
Q6DKN2,1,YES,628.5
P68641,1,YES,170.6
A7TDU7,1,YES,192.5
Q7TP90,1,YES,559.5
B1XU64,1,YES,426.5
Q9BXN1,1,YES,432.1
B0RN47,0,NO,0.0
Q3K8V7,1,YES,91.0
P56721,1,YES,720.8
Q8YQ82,1,YES,727.6
A3PIB6,1,YES,69.6
Q667N8,0,YES,15.7
A1A4R1,1,YES,259.2
B2VBI8,0,NO,0.0
Q90XN9,1,YES,325.9
P0A1B0,1,YES,90.3
B1HTD1,1,YES,151.7
A5F1U8,1,YES,15.0
Q5XVH0,1,YES,53.8
Q10316,0,YES,13.6
P05437,1,YES,90.8
Q3B402,1,YES,28.7
Q9TM40,1,YES,22.5
Q752P7,1,YES,207.1
A4XQR5,1,YES,165.0
A3DIM9,1,YES,704.2
O13493,1,YES,112.9
Q8NCK3,1,YES,1055.0
P58824,0,NO,0.0
B8ZQP1,1,YES,67.6
A5E094,1,YES,250.1
A6QV55,1,YES,505.9
B4SKN8,1,YES,13.5
Q6NMD6,1,YES,39.4
Q6P7S1,1,YES,865.5
P53946,1,YES,128.2
Q1CC50,0,NO,0.0
O07127,1,YES,137.7
Q61670,1,YES,87.0
P0AE36,1,YES,101.7
Q3BY66,1,YES,12.3
A1DI95,0,NO,0.0
Q9PWD3,1,YES,383.6
A9R095,0,YES,177.7
P46597,1,YES,260.6
A9M6N0,1,YES,88.0
B5ZSN9,1,YES,786.3
C4L7Z1,1,YES,137.0
Q9VI93,1,YES,520.7
Q44583,1,YES,259.3
A7X0T9,1,YES,158.1
P54717,1,YES,54.0
Q9KMG4,1,YES,86.9
Q9LTS4,1,YES,41.0
A3KNL5,0,YES,18.4
P61882,1,YES,20.6
Q2GD99,1,YES,144.1
Q4ZQW4,1,YES,149.7
A3PYX7,1,YES,133.7
Q08427,1,YES,512.2
Q9JM72,1,YES,114.1
Q9SN74,1,YES,115.3
Q36580,1,YES,47.6
P94589,0,NO,0.0
Q93PD8,1,YES,1104.4
Q7S045,1,YES,95.5
Q74K18,1,YES,72.8
P0DKS6,1,YES,56.5
C0Z7Z0,1,YES,200.6
C4JUR0,0,NO,0.0
B4ULJ2,1,YES,142.0
Q5FVM5,1,YES,934.2
P05511,0,YES,79.7
Q9LU63,0,NO,0.0
O49597,1,YES,54.0
Q59WB9,1,YES,138.4
Q080J1,0,NO,0.0
Q6FK91,1,YES,262.3
Q724W6,1,YES,400.7
B7MAH5,1,YES,61.0
Q5UPI1,1,YES,107.0
B0RVB3,1,YES,81.5
Q06661,1,YES,14.2
P31538,1,YES,272.5
Q9K855,1,YES,201.4
A9R7I5,1,YES,78.7
Q09726,0,NO,0.0
Q6ZMV8,1,YES,1083.6
B0EHY7,1,YES,315.9
Q5HWI0,1,YES,147.1
P0CQ14,1,YES,507.2
C0MH74,1,YES,11.8
C4Z0V2,1,YES,54.3
A7GT28,1,YES,203.8
A1JMW1,1,YES,15.1
A9R7I2,1,YES,479.6
B7H296,1,YES,602.7
A5PK61,1,YES,259.1
Q3UIW5,1,YES,1752.0
Q5Z6A4,1,YES,208.6
A8CEM0,1,YES,204.0
Q5WT88,1,YES,72.4
B8D9G7,1,YES,145.7
C5DRF7,0,YES,9.0
P18746,1,YES,817.7
Q2A1I2,1,YES,672.9
P28166,1,YES,558.4
Q9LVJ7,1,YES,79.2
Q6MRR3,1,YES,29.4
P67842,0,NO,0.0
P13620,1,YES,37.4
A4QDH0,1,YES,44.2
Q21697,1,YES,78.4
Q8GRL4,1,YES,198.5
Q6PFG8,1,YES,587.8
Q0DBL6,1,YES,167.5
Q57TH2,1,YES,37.8
B2S8E6,1,YES,138.4
Q6CWK2,0,NO,0.0
A5D0T6,1,YES,190.6
Q0CS60,1,YES,70.8
P30660,0,YES,78.5
P84248,1,YES,266.3
Q0G9N3,0,YES,15.1
A5DFC5,1,YES,250.0
A8GG50,1,YES,13.6
Q48N21,1,YES,212.6
B2TQ23,0,NO,0.0
Q47N81,1,YES,259.2
A8G0R9,0,NO,0.0
Q82TN0,1,YES,51.7
Q1C2P3,1,YES,389.7
B8I6G5,1,YES,76.3
Q2G8R3,1,YES,113.8
Q8ZIK7,1,YES,32.6
Q8NCY6,0,YES,25.0
Q9IA17,1,YES,235.1
B4U1S6,0,YES,12.3
Q5E3Z3,1,YES,82.9
B8F5G8,1,YES,524.1
Q39Z72,0,NO,0.0
Q59NG5,1,YES,599.4
Q31F20,1,YES,87.8
P0CF82,1,YES,182.8
Q6CWA7,1,YES,108.7
A9N460,1,YES,314.3
P79765,1,YES,612.9
P80574,1,YES,528.0
A9L2X4,1,YES,82.2
Q5PEN2,1,YES,15.4
Q6D006,1,YES,126.4
S0DRX3,1,YES,66.9
O82799,1,YES,173.7
Q92GH4,1,YES,79.1
A5CRZ1,1,YES,148.0
B5ZN05,1,YES,130.5
P56383,1,YES,246.0
Q65I28,1,YES,181.1
A4ITW8,1,YES,175.8
B6I7K0,0,NO,0.0
Q926W4,1,YES,166.6
A9QZ61,1,YES,194.7
P43717,1,YES,43.5
Q8NIG3,1,YES,208.0
Q2HAX7,1,YES,272.6
Q9LTC6,1,YES,111.1
B3QMU7,1,YES,210.9
Q9AEV8,1,YES,28.9
A4II20,1,YES,758.3
Q9PLI1,1,YES,12.5
Q12HQ0,0,NO,0.0
Q94E96,1,YES,186.3
Q30S87,1,YES,50.2
Q8TFF3,1,YES,101.0
O42410,1,YES,441.9
P76509,1,YES,22.5
B5ED16,1,YES,66.0
P0DP87,1,YES,201.7
Q1QTQ8,0,YES,12.3
P84582,1,YES,52.9
Q39263,1,YES,53.3
Q9GKT0,1,YES,296.6
Q6C4Q6,1,YES,62.2
B2VIT0,1,YES,64.8
O59868,1,YES,909.6
Q21CB6,1,YES,142.1
Q99687,1,YES,536.4
A3D5Q2,1,YES,435.0
Q6Q9I2,1,YES,363.2
Q54Z07,1,YES,20.6
Q12UT1,1,YES,285.9
Q9MTL7,1,YES,807.7
P26635,1,YES,543.4
Q7MH71,1,YES,98.0
Q9FXD6,1,YES,293.0
B0BNN9,1,YES,76.5
Q6DAZ8,0,NO,0.0
Q5RDX4,1,YES,403.3
A2WKT4,1,YES,162.0
Q2NEC4,1,YES,16.6
Q6GKC2,1,YES,133.0
B0T0T0,1,YES,108.0
A2YWI3,1,YES,164.8
Q9JVF4,1,YES,37.0
Q12UJ8,1,YES,80.5
Q9BUY5,1,YES,1109.4
Q3UM89,1,YES,84.4
A7FHH6,1,YES,11.4
B1ICT1,1,YES,630.7
A3MY81,1,YES,193.0
O94346,1,YES,311.3
Q8DPD1,1,YES,223.7
Q21B51,1,YES,312.7
P33879,1,YES,101.7
Q2KCU6,1,YES,72.4
B3QMM2,1,YES,230.5
Q9LZZ9,1,YES,210.0
P62795,1,YES,197.5
Q31DM1,1,YES,30.3
Q3ZBB6,1,YES,301.2
Q6GM78,1,YES,355.8
Q1R4I8,1,YES,13.9
A3LZZ0,1,YES,245.6
Q72KH8,1,YES,134.5
Q1CX38,1,YES,44.1
A7KAI6,1,YES,562.8
Q06628,0,YES,19.8
B7VL97,1,YES,220.2
Q8ZWG7,1,YES,140.3
Q1E891,1,YES,12.4
Q37304,1,YES,123.4
A9A9M4,1,YES,19.1
Q8WTM6,1,YES,125.7
B3PZ93,1,YES,193.5
Q8EWQ5,1,YES,15.6
P08386,0,YES,13.8
P05022,1,YES,778.8
P22016,1,YES,14.1
Q9X5X3,1,YES,694.6
Q6FFB2,1,YES,50.8
A8CEM5,1,YES,199.6
Q2J826,1,YES,165.6
A3LXD5,1,YES,250.0
P13967,0,YES,11.6
C3JXY7,1,YES,200.5
Q5HQK1,1,YES,49.4
Q8WWH4,1,YES,151.3
B4RN46,1,YES,300.4
A2Y5G8,1,YES,182.2
Q6AUK6,1,YES,71.3
Q7V904,1,YES,107.1
Q8N7K0,1,YES,846.3
Q7WZY4,1,YES,168.5
A7FWA9,1,YES,138.3
B2VJW7,1,YES,384.2
P43881,1,YES,158.0
A8AIB1,1,YES,14.8
A4SGM8,0,NO,0.0
Q9Y3D2,0,YES,301.3
C4K2K4,1,YES,212.5
Q2L1Z2,1,YES,75.9
Q9LU18,1,YES,168.6
Q99MQ4,1,YES,425.9
B2HSJ8,1,YES,55.8
B9EMY6,1,YES,638.0
A9IKM2,0,NO,0.0
A9HRH6,1,YES,45.4
Q3K4S8,1,YES,55.5
Q5FWU5,1,YES,435.0
Q96T25,1,YES,1441.2
Q7XAQ6,1,YES,94.0
Q5FKY0,1,YES,655.6
B7IP95,1,YES,234.7
P59602,0,NO,0.0
Q5H081,1,YES,139.8
Q3UZB0,1,YES,171.0
B4T3Z5,0,NO,0.0
Q9H2G9,0,YES,718.6
C1EYX7,1,YES,141.3
B1JQD9,1,YES,101.4
A9N909,1,YES,105.2
P57840,1,YES,329.2
