identifier,metric,found_hit,score
P01549,1,YES,87.3
Q43484,1,YES,56.6
P39404,1,YES,41.6
Q0CHR0,1,YES,572.3
B5FCZ7,0,NO,0.0
Q5R9C9,1,YES,338.5
Q07DZ7,1,YES,146.9
B8CVU8,1,YES,49.4
P97370,1,YES,101.7
Q0DKA5,1,YES,151.2
A6ZXH8,1,YES,549.5
Q9P0W2,1,YES,77.9
P0CB25,1,YES,48.6
Q2S6P1,1,YES,159.9
P50996,1,YES,391.1
A5CVI6,1,YES,171.1
Q1GAU1,1,YES,125.4
P50364,0,NO,0.0
Q31UN2,1,YES,154.8
Q7ZY13,1,YES,264.4
O33813,1,YES,125.9
Q5M5J1,1,YES,156.7
Q3ANW6,0,NO,0.0
Q64568,1,YES,705.5
Q5PAN2,1,YES,160.2
B2J053,1,YES,12.4
O14983,1,YES,530.4
P13123,1,YES,11.4
A6WCY3,1,YES,122.1
Q35537,1,YES,16.1
O59673,1,YES,27.2
Q2JSV5,0,NO,0.0
D4AL61,1,YES,599.5
G5E829,1,YES,694.9
Q9M2K8,1,YES,156.7
A3KNX5,1,YES,42.6
Q9BSB4,1,YES,33.6
Q2TZA3,0,NO,0.0
A4GYP3,1,YES,400.1
Q9I6Z9,1,YES,62.5
O50288,1,YES,408.5
P63674,1,YES,400.3
A4Z2B4,0,NO,0.0
Q9SJJ3,1,YES,265.8
Q3A604,0,NO,0.0
Q66GR3,0,YES,58.6
Q99766,1,YES,57.0
O65154,1,YES,64.8
A5UZS8,1,YES,134.4
A8GQF6,1,YES,13.7
Q9LXA9,1,YES,218.4
P0CO54,1,YES,87.2
O14593,0,YES,255.3
Q8GY61,0,YES,158.9
P22020,1,YES,22.5
Q9LRP7,1,YES,92.4
F4JIJ7,1,YES,44.4
P40356,1,YES,16.7
B1X9W0,1,YES,154.8
Q831A3,1,YES,397.9
A4YCI4,1,YES,17.7
Q8H102,0,YES,41.8
Q9CQQ7,1,YES,35.6
P35315,1,YES,488.8
O95352,1,YES,629.6
O23208,1,YES,144.8
A9KK95,1,YES,58.2
E5AV36,0,YES,25.6
P42470,1,YES,170.1
Q9XMI9,0,NO,0.0
Q9FIX5,1,YES,37.8
P00825,1,YES,154.5
Q0HD73,0,NO,0.0
Q21ZA2,0,NO,0.0
P58312,1,YES,418.3
Q2IHP4,0,YES,7.4
O04292,1,YES,81.4
Q8MBM3,1,YES,157.5
P92953,1,YES,241.1
Q9CWQ3,1,YES,14.0
Q8GZ13,0,YES,115.2
Q9C5W6,1,YES,12.7
A8GY42,1,YES,408.8
P50993,1,YES,417.3
P33251,1,YES,11.1
P54209,1,YES,519.8
Q9SNC0,1,YES,38.2
Q3AHK0,0,NO,0.0
B2S2Y0,1,YES,88.2
Q9STJ7,1,YES,38.9
P80723,0,YES,19.6
P07137,1,YES,158.9
A8ACN6,1,YES,154.8
Q8GT73,1,YES,314.0
Q5JNT2,1,YES,157.7
P56661,1,YES,51.0
Q64566,1,YES,606.0
Q75LX9,1,YES,49.8
Q9FGB0,1,YES,67.2
Q2LCR6,0,NO,0.0
Q8NBU5,1,YES,299.3
Q98QU2,0,YES,17.4
Q9UMQ3,1,YES,85.5
Q9FLI1,1,YES,45.1
O04136,1,YES,57.8
A8AIC3,0,YES,14.1
P56666,1,YES,52.9
O93958,1,YES,21.1
P9WMF9,1,YES,143.0
B2G6K0,1,YES,125.3
P80724,0,YES,11.6
Q9F7V5,1,YES,50.7
Q07E43,1,YES,150.7
O23090,1,YES,203.6
Q8GWA2,1,YES,50.7
P47463,1,YES,122.8
Q11178,0,NO,0.0
Q940J1,1,YES,161.4
Q66KV4,0,YES,13.0
Q1E4K5,1,YES,81.6
Q8W2F1,1,YES,343.3
P38591,0,NO,0.0
Q9XEF0,1,YES,43.7
F4IHR4,1,YES,206.9
A1WYV2,1,YES,158.7
O80831,0,YES,416.7
Q1I2I5,1,YES,371.1
Q4QKK3,0,NO,0.0
Q0BQE6,1,YES,415.8
Q9W6D8,1,YES,84.7
Q6VAM4,1,YES,158.5
P0DA05,1,YES,155.6
Q9LTC7,1,YES,71.8
C7GL28,1,YES,14.3
Q9HAW0,1,YES,270.8
A8ZUM7,1,YES,15.6
P55924,1,YES,124.5
Q8C7R7,1,YES,453.6
Q1JMJ1,1,YES,395.2
Q2UNX4,1,YES,40.6
A8GTS9,1,YES,48.1
P15308,1,YES,81.4
Q93084,1,YES,532.0
Q9FXG8,1,YES,225.1
P48894,0,NO,0.0
A9R5U1,1,YES,376.0
Q91685,1,YES,98.5
A6UVD8,1,YES,103.4
O08574,1,YES,62.6
B3QUP6,1,YES,166.0
B1KQ37,1,YES,43.8
A3LZS3,1,YES,431.6
A1REY7,1,YES,128.2
Q2I3G9,1,YES,18.7
P46897,1,YES,140.4
P44161,1,YES,14.1
Q2UD74,1,YES,9.7
B5RFW3,1,YES,157.3
Q9LNJ5,1,YES,496.5
W6QV39,1,YES,79.9
Q1QQS5,1,YES,427.4
P95784,1,YES,12.0
Q57HX7,1,YES,378.2
B2GJQ7,1,YES,110.0
P06022,1,YES,68.1
Q2YXE4,1,YES,120.9
C3PP00,1,YES,136.5
Q976J7,1,YES,78.5
C5CIV6,1,YES,429.1
Q93W88,0,YES,140.1
A6UDM1,1,YES,169.6
Q6CTY3,0,NO,0.0
Q6G0H3,0,NO,0.0
Q5M5J4,1,YES,43.2
A0QF43,1,YES,99.0
Q13733,1,YES,410.0
Q8D3J5,1,YES,365.5
P38182,1,YES,84.4
Q8R1H8,1,YES,65.3
Q0AJB3,1,YES,52.4
Q830Z9,0,NO,0.0
P56384,1,YES,84.7
P14196,0,YES,15.5
O05797,1,YES,121.5
Q4Q9X8,0,YES,198.3
P24876,0,NO,0.0
Q07233,1,YES,71.8
A0M8T3,1,YES,164.3
P41168,1,YES,174.3
P10083,1,YES,71.0
Q7XJU2,1,YES,90.2
Q69V10,1,YES,75.0
A7ERK1,1,YES,920.8
Q72SY1,1,YES,404.0
Q31DM0,1,YES,165.5
P44337,1,YES,92.7
Q13IW4,0,NO,0.0
Q6LLG8,1,YES,154.6
B0TQM8,1,YES,121.5
P61283,1,YES,12.5
Q1PF17,1,YES,169.8
P22015,0,YES,13.7
P05026,1,YES,117.3
Q6GEW6,0,NO,0.0
Q9ZUG9,0,YES,84.9
Q8XID4,1,YES,176.1
Q92105,1,YES,537.1
A1JPP6,1,YES,198.1
B6YUR8,1,YES,83.2
Q9BZE3,1,YES,149.3
B2UUP2,1,YES,388.3
A8YUJ9,1,YES,382.8
Q96252,0,NO,0.0
P0A952,1,YES,28.6
B3CN52,1,YES,39.7
Q9C7T4,1,YES,164.1
Q9W5X9,0,YES,84.3
Q9S7R3,1,YES,14.1
Q74GY0,1,YES,172.6
D1ZCP6,0,NO,0.0
Q1ME24,1,YES,87.1
P48081,1,YES,153.3
Q69UE6,1,YES,158.9
Q9LSQ3,0,YES,83.6
Q9FH80,0,YES,367.9
A9KY20,1,YES,127.1
A8XAC6,1,YES,13.2
Q59RR3,1,YES,277.1
Q9CR84,1,YES,84.8
P31507,1,YES,987.8
Q6P026,1,YES,12.0
Q8RWU4,1,YES,817.0
Q0D154,0,NO,0.0
O35819,1,YES,586.5
A4QKT8,1,YES,155.5
Q9LVR0,1,YES,131.5
A7L9Z8,1,YES,592.3
Q8S3D2,1,YES,120.0
Q9W6U8,1,YES,191.6
A0A0A7HJC7,1,YES,117.7
Q8GWK7,0,YES,113.0
P13965,1,YES,11.4
Q28852,0,NO,0.0
P51514,1,YES,586.7
A6S3R7,0,NO,0.0
B6J957,0,NO,0.0
Q9H503,0,NO,0.0
Q7XH85,1,YES,160.2
A2YNI2,1,YES,227.3
P80021,1,YES,422.4
F4IQQ9,0,YES,67.5
B2SEX9,1,YES,376.7
Q9GKS6,1,YES,74.6
Q9HBU1,1,YES,84.6
A9AVV4,1,YES,157.8
B0S0Y8,1,YES,108.2
P21711,1,YES,98.5
Q8IYA7,1,YES,72.0
Q30QP8,0,YES,12.6
O81037,1,YES,146.9
A6MVW4,1,YES,401.2
B1MP28,1,YES,96.8
Q5XF89,1,YES,131.9
Q8IRC7,1,YES,230.8
Q9SW80,1,YES,287.9
Q10EC6,1,YES,45.3
P48879,1,YES,18.0
A2QFJ9,1,YES,11.3
P31399,1,YES,125.5
Q1KVU0,1,YES,386.3
A1S2F0,1,YES,134.6
P09774,1,YES,77.5
P20647,1,YES,534.7
Q0E3C3,1,YES,55.0
Q503W7,1,YES,296.2
B0XVV1,1,YES,578.6
B4H4H5,1,YES,187.9
F4JIK2,1,YES,221.9
Q6MS92,1,YES,348.7
Q5NQZ1,1,YES,424.7
Q01871,1,YES,1066.1
P35110,1,YES,158.4
A4D7T3,1,YES,149.8
O44548,1,YES,20.9
Q7A2N3,1,YES,50.1
Q0I5X1,1,YES,379.6
Q8S3D5,0,YES,87.2
B8CM47,1,YES,127.0
Q042P3,1,YES,122.3
F4I4E1,1,YES,35.0
Q7S4D7,1,YES,952.5
Q927W1,1,YES,45.7
Q12732,0,YES,103.6
Q4WDE9,0,YES,308.6
C1KWZ5,1,YES,129.3
Q98Q74,1,YES,122.0
Q9TL16,1,YES,388.3
Q87TT2,1,YES,367.8
P0DA02,1,YES,395.2
Q0RNQ0,1,YES,110.1
Q0JHZ2,0,YES,243.0
Q9LV17,0,YES,115.3
Q0H8Y6,0,NO,0.0
Q7HHX4,1,YES,153.2
Q64578,1,YES,540.6
P22476,0,NO,0.0
Q9TT99,1,YES,38.8
P94403,1,YES,101.2
Q5RFJ9,1,YES,15.7
Q2HIV9,1,YES,162.7
Q6CJ48,0,YES,288.6
Q1RGZ3,0,NO,0.0
Q04S16,1,YES,402.5
Q9A2V9,1,YES,155.6
P0DH88,1,YES,170.5
Q9SJ56,1,YES,252.9
P59759,1,YES,641.7
Q4P2U6,1,YES,90.3
A6W7G7,1,YES,409.2
P43002,1,YES,99.6
P46668,1,YES,165.8
C8ZFP7,1,YES,11.9
A4W1V7,1,YES,158.8
Q9LUK7,1,YES,474.6
Q5ZX20,1,YES,159.5
Q14K08,1,YES,374.4
P50997,1,YES,408.5
Q3T0C6,1,YES,85.2
Q8PGG5,1,YES,385.2
Q2Y629,1,YES,137.1
Q9ZVA0,0,YES,12.9
Q8EM80,1,YES,53.0
Q5JCK6,1,YES,12.8
P10084,1,YES,74.6
B1W0A5,1,YES,411.5
Q32RY8,1,YES,158.2
Q09436,1,YES,54.6
P46667,1,YES,151.9
A5HY52,1,YES,164.9
B1LBB9,1,YES,170.9
Q9SK91,1,YES,163.6
Q5KUJ1,1,YES,417.8
P19653,1,YES,156.6
C1A1Y0,1,YES,387.2
A7IGF5,1,YES,112.5
Q83AG1,0,NO,0.0
A4WUM7,1,YES,147.1
A7NEH4,1,YES,156.3
Q8LSN2,1,YES,406.3
Q9BRJ9,1,YES,67.2
A1JTD0,1,YES,52.7
A8G1W5,1,YES,160.3
P37209,1,YES,16.2
Q5HZM3,0,NO,0.0
P0ABE3,1,YES,89.2
B0UWG7,1,YES,379.6
B7UN35,0,NO,0.0
Q31UN4,1,YES,380.8
A6ZKM4,1,YES,84.4
P33704,1,YES,75.8
P25555,1,YES,140.8
Q6FFK6,0,NO,0.0
A9CK03,0,NO,0.0
A8LKI0,0,NO,0.0
O03200,0,NO,0.0
A3Q3B3,1,YES,388.0
Q9CPQ8,1,YES,12.9
Q1GQS5,1,YES,150.3
A3FIN4,1,YES,65.5
Q9C682,1,YES,60.8
O04134,1,YES,56.8
B1J1Y1,1,YES,140.7
P56660,1,YES,59.8
Q6CYJ2,1,YES,52.4
Q9UBL3,1,YES,528.7
A4QNR3,1,YES,272.5
Q9LQ08,1,YES,42.0
Q0AMJ4,0,NO,0.0
B1W0A3,1,YES,154.8
C3P1F4,1,YES,169.0
B2HQK8,0,NO,0.0
O23487,1,YES,286.9
Q8S3F1,1,YES,201.0
B5BFM9,1,YES,192.8
Q8GXM7,1,YES,130.3
C9JSJ3,1,YES,35.5
O60158,1,YES,12.4
Q9S7C9,1,YES,250.2
Q09YH1,1,YES,141.1
Q9N0Z6,1,YES,418.2
Q5R5K5,1,YES,609.9
Q05482,1,YES,17.6
Q9ZW81,0,YES,44.7
Q9P445,1,YES,53.0
P0A951,1,YES,28.6
B3H2P3,1,YES,166.7
P9WII1,1,YES,47.3
O93602,1,YES,343.9
P56085,0,NO,0.0
Q4P683,1,YES,531.9
A4QJK6,1,YES,157.8
Q9LSB2,1,YES,93.4
A7FQH9,1,YES,164.9
Q8KAC9,1,YES,159.7
Q313R2,1,YES,111.7
Q8DC96,1,YES,226.1
Q5RBU9,1,YES,12.5
Q8BHE3,1,YES,298.4
Q5X6J1,1,YES,159.5
B8GRC0,1,YES,375.3
Q2J3I1,1,YES,88.9
A1DG37,0,NO,0.0
A6SSM3,0,YES,10.2
B2IQX3,1,YES,35.3
Q94JL3,1,YES,123.1
O65034,1,YES,50.0
P63157,1,YES,153.4
Q8L467,1,YES,74.7
B1KSS8,1,YES,165.2
Q9P6H9,1,YES,202.7
B7M588,1,YES,154.8
Q8K341,0,YES,101.2
P0CQ27,0,NO,0.0
I1RF54,1,YES,67.4
P48731,1,YES,135.0
Q0JXE7,0,YES,126.8
A5WBA5,1,YES,362.9
Q9W0K7,1,YES,160.2
Q4A8W1,1,YES,357.1
B5DLV1,1,YES,187.6
Q12HP8,1,YES,42.7
Q07UZ5,1,YES,163.6
Q4R318,1,YES,267.0
Q9ZVD3,1,YES,121.0
Q91X20,1,YES,528.5
Q39ZU1,1,YES,169.8
P56662,1,YES,53.0
O08686,1,YES,84.2
Q9M1K9,1,YES,166.1
B5XKP6,0,NO,0.0
P00850,1,YES,18.0
P20384,1,YES,94.5
O06703,1,YES,80.5
A1AXU8,0,NO,0.0
A5FLS1,1,YES,150.0
Q8WMX7,1,YES,157.1
Q5H4Y7,1,YES,39.2
Q9S7Y1,1,YES,50.4
A5G9D8,1,YES,168.8
A1V0S7,1,YES,98.9
Q5VTU8,1,YES,37.5
Q9VLU0,0,YES,12.8
B7GMF9,1,YES,11.7
Q51WZ9,1,YES,951.7
P30714,1,YES,410.9
Q82J84,1,YES,145.1
Q1JMJ2,1,YES,50.2
A3N2V0,0,NO,0.0
O96539,1,YES,370.4
B1XRK3,0,NO,0.0
Q9CAA4,1,YES,43.0
Q6K687,1,YES,139.3
Q8VIB5,1,YES,138.0
P33651,1,YES,49.8
P56668,1,YES,56.0
Q5RJB0,1,YES,44.9
C6E8P0,0,NO,0.0
Q9KUN3,1,YES,201.1
C5BF40,1,YES,154.3
Q9LXT3,1,YES,75.6
Q8S8W8,1,YES,155.6
P70773,1,YES,224.7
O21402,0,NO,0.0
Q04HT9,1,YES,159.4
Q9LND0,0,YES,180.2
Q9M128,1,YES,171.3
O80482,1,YES,123.3
Q3A603,0,NO,0.0
B7V793,1,YES,365.3
B3Q748,1,YES,90.4
Q64542,1,YES,708.0
A8H993,1,YES,130.6
A8F0C9,0,NO,0.0
A7FJT1,0,NO,0.0
P43161,1,YES,83.7
A0RL95,1,YES,169.0
Q5SCX6,1,YES,382.6
A0LLG1,1,YES,53.6
A6H2D7,1,YES,357.0
Q57K51,1,YES,192.8
Q60929,1,YES,196.6
B0XVA3,0,NO,0.0
Q9ULK2,1,YES,439.1
Q700E3,1,YES,133.6
Q9K0Z1,1,YES,105.1
P34418,0,YES,15.6
O34913,1,YES,122.8
P99109,1,YES,44.9
P28250,1,YES,156.0
Q48UD5,1,YES,395.2
C5CNE5,1,YES,107.1
E7F888,1,YES,198.9
O22901,1,YES,35.7
A6Q3A6,0,NO,0.0
Q12120,0,YES,72.4
Q1LVW0,0,YES,75.4
F6QV99,1,YES,299.3
Q87AF1,1,YES,83.3
Q57HX3,0,NO,0.0
Q0BXT3,1,YES,85.9
B2U0T2,1,YES,191.8
P46153,1,YES,330.3
Q51MW4,1,YES,81.8
Q52279,0,NO,0.0
P0CH03,1,YES,75.0
Q03474,1,YES,118.6
Q1MRC0,1,YES,40.3
Q8XGC2,0,NO,0.0
Q9FLI0,1,YES,46.7
B3E3Z1,1,YES,84.5
Q9FWS6,1,YES,11.1
Q1JHP0,0,NO,0.0
Q876N4,1,YES,533.0
B0UE42,1,YES,80.1
O68014,1,YES,206.0
Q02990,1,YES,75.5
P0C2Z5,1,YES,384.8
P46609,1,YES,56.1
A9HY42,1,YES,158.4
Q5E1N7,1,YES,149.6
Q41330,1,YES,48.9
C5BF34,0,NO,0.0
Q7VJ23,1,YES,388.9
P63156,1,YES,153.4
B4NEU8,1,YES,191.8
P48893,0,NO,0.0
Q65Q04,1,YES,35.9
A7EXE6,0,NO,0.0
I1RF57,1,YES,241.6
Q6G5L2,0,NO,0.0
P04074,1,YES,415.4
Q60CS0,0,NO,0.0
P9WMB7,1,YES,45.3
B8DP87,1,YES,120.9
Q8HWS3,1,YES,452.9
P22019,1,YES,12.4
A3M145,1,YES,19.7
Q8MBG5,1,YES,158.7
Q06056,1,YES,84.6
Q92030,1,YES,417.4
P37335,1,YES,96.4
A8XKM2,0,YES,61.4
A4YKE0,1,YES,159.6
O55143,1,YES,535.5
Q6WRX9,1,YES,14.4
Q9SVU7,1,YES,293.1
P46640,1,YES,59.3
B2GAU2,1,YES,63.4
Q202B1,1,YES,91.3
E5AW43,0,YES,24.9
A4SC45,1,YES,157.1
Q5FGY3,1,YES,164.6
Q07E17,1,YES,161.2
P59640,1,YES,141.4
Q8GUC3,1,YES,175.0
Q9W7E8,1,YES,159.4
Q60843,1,YES,621.6
P26527,1,YES,164.7
Q2HJE0,1,YES,33.7
Q8GX84,1,YES,187.2
P52605,1,YES,30.6
A1SHI9,1,YES,382.6
Q75KV9,1,YES,40.2
P05029,1,YES,102.1
A5DB08,1,YES,13.7
C1G966,1,YES,563.8
Q84TK1,0,YES,181.7
Q92LK5,1,YES,88.9
Q9FN29,1,YES,77.9
P24946,0,NO,0.0
P22021,1,YES,15.0
A9MXA6,1,YES,155.1
Q9DCT6,1,YES,18.5
Q8HEC5,0,NO,0.0
Q2L917,1,YES,157.9
P48002,1,YES,58.4
Q6FQY7,1,YES,417.8
B1XY19,1,YES,92.7
B2RZF9,0,YES,114.4
P78962,1,YES,85.7
O07458,1,YES,43.7
A2SCX6,1,YES,86.7
O05097,0,NO,0.0
P62626,1,YES,163.5
Q3ECU8,1,YES,205.0
Q8BVR0,1,YES,12.6
P18358,1,YES,168.3
F4HRV8,1,YES,101.6
P0DH89,1,YES,170.5
P56667,1,YES,51.3
Q5X2Q6,1,YES,12.8
Q503F2,1,YES,82.2
P37934,1,YES,36.0
B8E089,1,YES,114.8
Q8EM77,0,NO,0.0
A1R7V8,0,NO,0.0
Q0CJ57,1,YES,147.8
P28809,1,YES,62.3
Q5KUI7,0,NO,0.0
Q1RDQ8,0,NO,0.0
C1CLK8,1,YES,385.4
A7KAI7,1,YES,503.1
A5UGY9,1,YES,162.7
A1T0Y9,1,YES,157.7
Q9FKQ6,1,YES,116.6
Q9SVU6,1,YES,207.8
O35451,1,YES,283.7
P79703,1,YES,122.8
Q7XHC4,1,YES,146.4
Q9VLD6,0,NO,0.0
P40467,1,YES,534.6
A5IUQ4,0,NO,0.0
Q9FJL4,0,YES,130.5
Q0CJ60,1,YES,455.3
Q01954,1,YES,96.9
A2VDL6,1,YES,417.9
P51827,0,YES,17.6
Q9Z3R4,1,YES,149.9
Q0CJ62,1,YES,171.1
Q69WS3,0,YES,137.8
A7Z9Q6,0,NO,0.0
Q9SUM5,1,YES,34.3
B8MPW2,0,NO,0.0
Q5VSA8,1,YES,267.5
Q9X5V3,1,YES,581.9
Q3ZCH6,1,YES,71.5
Q8LC03,1,YES,134.4
P10719,1,YES,155.1
Q6NKN9,0,YES,145.5
Q24312,1,YES,337.0
Q6NW59,1,YES,51.2
Q56XR0,1,YES,147.0
O78751,1,YES,11.7
Q9I1M3,1,YES,122.4
P20648,1,YES,397.8
A0PUK6,0,NO,0.0
O07465,1,YES,48.3
Q9TM41,1,YES,158.9
Q98QB6,1,YES,126.3
B2RRD7,0,YES,231.3
P0ACH8,1,YES,55.7
P35203,1,YES,11.3
P29419,0,YES,10.9
Q2QLC6,1,YES,150.8
P25965,0,NO,0.0
P87127,0,YES,14.4
Q8N1L9,1,YES,68.8
Q757F3,0,NO,0.0
Q6PQQ4,1,YES,403.2
P57118,0,NO,0.0
Q9LT67,1,YES,108.3
P9WIH9,1,YES,41.3
Q96TL7,0,YES,13.4
Q9C8Z9,1,YES,95.8
Q0UYL2,1,YES,696.4
Q5XCY5,0,NO,0.0
Q93Y00,0,YES,76.5
O54862,0,YES,107.2
Q05175,0,YES,14.5
Q32LD1,1,YES,18.5
P21538,1,YES,462.5
P48382,1,YES,54.0
B3EST8,1,YES,145.5
P22017,1,YES,14.5
Q8P1K5,1,YES,155.6
B0VNJ8,0,NO,0.0
P37425,1,YES,153.2
Q84RD0,1,YES,43.3
D4AT77,0,YES,201.2
Q9LZS0,1,YES,254.1
C1AU64,1,YES,104.8
Q29S07,1,YES,273.3
P26532,1,YES,149.8
B2A3G4,1,YES,411.8
Q03669,1,YES,535.3
Q03153,1,YES,14.3
Q9QZW0,1,YES,44.1
Q89B39,1,YES,162.4
Q8IS98,1,YES,76.6
A6ZWA5,1,YES,67.5
P39075,1,YES,65.0
Q19787,1,YES,35.3
Q4L7Y7,1,YES,38.1
P59328,0,YES,202.5
Q4UQF1,1,YES,46.4
Q12343,1,YES,247.8
Q98SH2,1,YES,16.0
P94632,1,YES,211.4
Q0C804,1,YES,82.9
A8G7M2,0,NO,0.0
B9MS68,1,YES,165.8
A3QJR0,1,YES,166.9
Q9ZU11,1,YES,69.2
P47317,1,YES,412.1
A4D998,0,YES,109.6
Q9TMQ4,1,YES,156.2
Q65RX7,1,YES,138.6
Q8LEG1,1,YES,111.8
B7IG44,1,YES,171.8
Q6FQ87,1,YES,514.1
Q9WUC4,1,YES,32.6
Q9BA96,1,YES,152.6
Q2NZB0,1,YES,87.0
Q9YGL9,1,YES,545.4
P27347,1,YES,103.9
P29386,1,YES,169.2
B0ULY1,0,NO,0.0
P18434,1,YES,70.8
P0ABE4,1,YES,89.2
Q30QW4,1,YES,14.2
Q9ZXY0,0,NO,0.0
P58501,1,YES,419.9
B4T5G4,1,YES,192.8
Q6WRX6,1,YES,73.4
Q6LLG2,1,YES,17.1
A9KM87,1,YES,107.7
Q4QN58,0,NO,0.0
Q6F169,1,YES,125.5
B7M885,0,NO,0.0
A9BPU7,1,YES,163.3
Q3SF60,1,YES,12.0
S0E028,1,YES,219.9
Q46VY0,1,YES,155.9
Q3J4N4,1,YES,116.6
Q39KX6,1,YES,160.0
P32569,1,YES,509.5
C0NWC4,1,YES,9.7
P61991,1,YES,14.6
Q8XU74,1,YES,379.9
O94160,1,YES,74.7
A9HY34,0,YES,12.3
O79551,1,YES,13.4
P41696,1,YES,519.9
Q9HI54,1,YES,68.2
Q49XM7,1,YES,203.0
Q8GYD7,1,YES,268.3
P52659,1,YES,66.7
O04135,1,YES,56.9
Q36964,0,NO,0.0
C0M717,1,YES,48.2
A3GFU8,1,YES,81.8
B1VFY7,1,YES,134.5
Q89VI3,1,YES,199.0
Q01814,1,YES,697.8
Q4J9L2,1,YES,26.7
Q9FRI0,1,YES,33.8
Q2LR40,1,YES,117.9
P15935,1,YES,43.3
Q9UW95,0,YES,112.9
P22035,1,YES,86.0
F4J8V5,1,YES,243.0
Q9LK48,0,YES,136.5
P0A3J6,1,YES,122.9
P29706,1,YES,410.3
O45100,0,YES,65.8
B1WUH7,1,YES,11.9
Q9XIJ1,1,YES,36.3
Q0H8X2,1,YES,408.3
Q9ZU70,1,YES,139.4
C6E9F3,1,YES,425.0
Q9FJ00,1,YES,82.7
B0THN2,1,YES,160.2
Q5QFG1,1,YES,90.7
Q8YJ35,1,YES,157.4
P09572,1,YES,412.2
