identifier,metric,found_hit,score
Q47279,1,YES,13.3
Q9UK96,1,YES,209.4
P0A9F0,1,YES,25.9
P05463,0,NO,0.0
Q57831,1,YES,31.6
Q58559,1,YES,213.4
Q99JF5,1,YES,380.7
Q9ZE59,0,YES,12.2
Q00852,1,YES,51.6
P38073,1,YES,233.1
Q93SF3,1,YES,41.4
P34226,1,YES,76.1
Q95YE9,1,YES,57.1
P14506,1,YES,17.0
Q9WUP0,1,YES,68.9
P74739,1,YES,75.7
Q15332,0,NO,0.0
P07621,1,YES,191.2
P26798,0,NO,0.0
Q01532,0,YES,330.9
P45333,0,YES,12.0
P19292,0,NO,0.0
Q15256,1,YES,441.1
Q9XD50,0,NO,0.0
Q50434,1,YES,12.0
P06716,1,YES,11.3
Q92G55,1,YES,230.3
Q9BXK5,1,YES,18.8
P27192,1,YES,15.4
P23914,1,YES,342.7
P12301,1,YES,49.4
P44296,0,NO,0.0
O13807,0,NO,0.0
P18193,0,NO,0.0
O66830,0,YES,12.7
P14248,1,YES,691.4
P23461,0,YES,18.2
P16757,0,NO,0.0
P08159,1,YES,99.7
Q9Z205,0,YES,245.0
P61978,1,YES,141.5
P53926,1,YES,9.3
Q9USY4,1,YES,12.1
Q14188,1,YES,291.3
Q38504,0,NO,0.0
P27343,0,NO,0.0
O64236,1,YES,14.4
P53528,1,YES,269.8
Q24167,1,YES,302.2
P40408,1,YES,55.1
P15969,0,NO,0.0
P36678,0,NO,0.0
Q9H5N1,1,YES,232.9
P20745,0,NO,0.0
Q9VPH2,1,YES,391.6
O14096,1,YES,64.1
O13360,1,YES,57.1
Q9Y5Q9,1,YES,113.3
Q27906,0,NO,0.0
Q09376,1,YES,48.6
O83685,1,YES,12.4
P53245,0,NO,0.0
Q01473,1,YES,156.7
P14904,1,YES,250.8
O51768,1,YES,600.2
P07277,1,YES,186.5
P12968,1,YES,44.1
P38305,1,YES,14.6
P68732,1,YES,13.5
P28640,1,YES,30.8
P13275,1,YES,12.8
Q9ZCW9,0,YES,14.6
Q9PRB3,1,YES,11.9
Q9P2W6,0,NO,0.0
P12552,1,YES,30.6
Q01856,1,YES,191.8
Q9C5P0,1,YES,386.7
P38813,1,YES,82.3
P06116,0,YES,12.5
P75384,1,YES,14.9
O33813,1,YES,125.9
P0ACG0,1,YES,116.0
Q05286,1,YES,12.9
P34252,0,YES,147.1
Q05266,1,YES,17.6
O93852,1,YES,594.9
P19287,1,YES,16.0
Q08775,1,YES,449.2
P20224,0,NO,0.0
O07634,0,YES,14.2
Q823K0,1,YES,36.1
Q04635,1,YES,41.8
P12876,0,NO,0.0
P13123,0,NO,0.0
Q9PRE2,1,YES,164.6
O28146,0,NO,0.0
O97764,0,YES,156.0
P76161,1,YES,129.6
P31449,1,YES,61.0
P69965,0,NO,0.0
Q22910,1,YES,86.6
P24647,1,YES,172.3
Q24849,1,YES,446.9
Q89B27,1,YES,193.9
P19881,1,YES,152.3
P03277,1,YES,14.6
O00287,0,YES,16.1
Q58183,0,YES,15.7
P38315,0,NO,0.0
P18679,0,NO,0.0
P43990,0,YES,28.1
P09397,0,YES,13.0
P11866,1,YES,11.6
Q57990,1,YES,67.3
P67705,1,YES,32.0
P56728,1,YES,13.3
P73532,1,YES,294.7
Q12287,1,YES,39.7
O13767,0,NO,0.0
Q9Y7L8,0,YES,28.4
P35692,1,YES,238.0
Q9HJQ0,1,YES,123.5
O31216,1,YES,46.1
P20398,0,NO,0.0
P66801,1,YES,51.1
P21678,0,NO,0.0
P36065,0,NO,0.0
P06225,1,YES,303.6
Q05594,0,YES,21.4
P25293,0,YES,213.5
P06701,1,YES,347.5
Q58965,1,YES,11.4
O83701,0,NO,0.0
P40082,0,NO,0.0
O05023,1,YES,118.5
Q8T0D4,1,YES,14.3
Q80H93,1,YES,25.9
Q9S3U8,1,YES,13.7
Q94890,1,YES,329.7
P39015,1,YES,129.4
P16140,0,YES,615.9
P55643,1,YES,47.8
O00488,0,YES,58.5
P23541,0,NO,0.0
Q9L6X9,0,YES,16.0
P34595,1,YES,30.5
P31624,0,NO,0.0
P0AD55,1,YES,13.9
Q06126,0,NO,0.0
Q08792,1,YES,135.5
Q57001,1,YES,111.1
Q57949,1,YES,20.3
Q24573,1,YES,240.3
P54177,1,YES,13.6
P42251,1,YES,273.5
Q3J170,1,YES,179.3
P22670,1,YES,331.9
P79051,1,YES,289.2
Q03607,1,YES,48.4
P0AE71,1,YES,40.5
P27739,0,NO,0.0
Q8L5Y9,1,YES,586.8
O83554,1,YES,186.0
Q09733,1,YES,30.8
O27941,0,YES,13.6
P15081,0,NO,0.0
P54796,0,NO,0.0
P33180,1,YES,65.2
P47927,1,YES,418.3
P23913,0,YES,290.4
P21867,1,YES,148.4
P25130,1,YES,13.6
P38081,1,YES,59.6
P34205,1,YES,311.7
P56557,0,NO,0.0
P25357,1,YES,58.9
P24607,1,YES,122.3
Q9ZAG3,1,YES,37.4
P19285,0,NO,0.0
P40814,1,YES,300.1
Q58485,0,NO,0.0
Q82BX4,1,YES,110.5
P67157,1,YES,28.0
P14044,0,YES,12.8
P54588,0,NO,0.0
P43684,0,NO,0.0
P03837,0,NO,0.0
Q57837,1,YES,34.5
Q9H2P0,1,YES,277.7
P0AAY4,0,NO,0.0
Q04222,1,YES,208.3
P19369,1,YES,10.1
O67915,0,NO,0.0
Q9PQK9,1,YES,51.6
P51979,1,YES,167.6
P18680,1,YES,45.2
Q99MZ3,1,YES,507.1
P08976,1,YES,96.9
P11536,1,YES,185.3
P30144,1,YES,333.3
P32389,1,YES,23.9
P59338,1,YES,193.9
P52958,1,YES,256.7
P29705,1,YES,15.1
P74892,1,YES,115.9
P22915,1,YES,13.3
P20313,1,YES,11.3
Q01012,1,YES,127.5
Q03182,0,NO,0.0
P43004,1,YES,398.4
P37530,1,YES,94.3
O94245,1,YES,10.8
P54269,1,YES,443.7
P34459,0,YES,9.7
P32553,0,YES,14.5
P33634,1,YES,121.9
P08557,1,YES,189.3
Q06565,0,NO,0.0
Q9VNA8,1,YES,214.2
P31463,1,YES,67.3
P47171,1,YES,10.7
Q9Y5B6,1,YES,413.1
P37556,1,YES,250.7
O75161,0,YES,13.8
Q23976,1,YES,111.9
P45285,1,YES,274.5
P17305,1,YES,16.9
P75175,0,NO,0.0
P22754,1,YES,15.8
Q8BZQ7,1,YES,51.0
Q9NR63,1,YES,436.4
P17211,1,YES,191.0
O28640,1,YES,12.9
P02255,1,YES,59.5
Q9UHP9,0,YES,15.0
Q9USR9,1,YES,21.2
P03023,1,YES,250.6
P28947,1,YES,820.0
Q9MAG6,1,YES,308.3
Q8K8I6,1,YES,243.6
P0A583,1,YES,58.2
O28838,1,YES,9.2
Q9Y4A0,0,YES,201.2
P23511,1,YES,89.5
P49997,1,YES,203.9
P38281,0,NO,0.0
O28773,1,YES,12.7
P10026,1,YES,81.7
Q04580,1,YES,10.1
P52127,1,YES,12.8
P01094,1,YES,13.8
Q64756,1,YES,40.7
P26488,1,YES,132.4
P20562,1,YES,13.2
Q09700,1,YES,12.0
P20949,0,NO,0.0
Q01962,0,NO,0.0
P0ABT3,1,YES,78.2
P17502,1,YES,20.9
Q9ZJZ2,1,YES,38.1
P33251,1,YES,29.4
P54078,1,YES,97.8
P53209,0,NO,0.0
P35201,1,YES,23.2
P20202,0,YES,18.5
Q9UI36,1,YES,165.9
Q05952,0,YES,12.0
P77365,1,YES,121.6
P30658,0,YES,99.4
Q9VGI8,1,YES,508.6
Q03496,0,NO,0.0
P52392,1,YES,14.1
P34259,1,YES,17.9
P42547,0,NO,0.0
P77136,0,NO,0.0
P0A3R9,1,YES,88.0
Q57765,0,NO,0.0
P55440,1,YES,23.7
O00841,1,YES,107.9
P16942,1,YES,123.7
P40163,0,NO,0.0
P23839,0,NO,0.0
P10961,1,YES,253.9
Q03935,1,YES,70.7
P09612,0,YES,12.0
P52528,0,NO,0.0
Q9RN13,1,YES,15.4
P64743,1,YES,14.4
P13976,1,YES,83.7
Q926A7,0,YES,17.9
P42507,1,YES,115.9
P36437,1,YES,275.8
P21681,1,YES,13.6
P57402,0,NO,0.0
P26305,0,YES,45.9
P09378,1,YES,172.0
P32338,1,YES,18.8
Q9NAH2,1,YES,66.0
P0A234,0,NO,0.0
Q24139,1,YES,11.6
O29347,1,YES,14.0
P12899,1,YES,306.6
P37928,1,YES,18.5
P15895,0,NO,0.0
P40331,1,YES,54.6
P10479,1,YES,20.7
P37938,1,YES,20.5
P02584,1,YES,27.9
Q57646,1,YES,15.1
P52348,1,YES,125.7
Q54450,0,YES,15.5
Q95QY7,1,YES,17.2
P96592,0,NO,0.0
P25992,1,YES,24.5
Q08210,1,YES,265.9
P03672,0,NO,0.0
P27556,1,YES,35.5
P14728,0,YES,10.8
Q16666,1,YES,624.3
P58700,1,YES,82.8
P31877,0,NO,0.0
Q51786,1,YES,172.1
O30332,1,YES,12.1
P04219,0,NO,0.0
O83467,0,YES,17.8
O75880,1,YES,218.6
Q57867,0,NO,0.0
P20227,1,YES,416.1
Q96JM2,1,YES,131.3
P0A9F5,1,YES,331.7
Q8LK56,1,YES,26.7
Q01529,0,NO,0.0
Q03248,1,YES,45.7
P03128,1,YES,75.8
Q02283,1,YES,190.1
Q9TV52,1,YES,422.1
Q8BHL5,1,YES,137.0
P21260,1,YES,26.9
P55554,0,NO,0.0
O34621,1,YES,10.6
O17582,1,YES,92.1
P14998,0,NO,0.0
Q05244,0,NO,0.0
P31125,0,NO,0.0
O05441,1,YES,17.2
P39127,1,YES,183.7
P47004,1,YES,13.1
Q8Y0Y3,1,YES,66.8
O10368,1,YES,330.0
P51705,1,YES,15.3
P14741,0,YES,298.3
Q24533,1,YES,156.8
Q28092,0,NO,0.0
P11556,0,NO,0.0
P15921,0,NO,0.0
P38273,0,YES,10.5
P89113,0,NO,0.0
Q99MT2,1,YES,447.9
P45464,0,NO,0.0
Q14805,0,NO,0.0
Q9ZJ29,1,YES,153.5
P04530,1,YES,27.0
Q03572,0,NO,0.0
P14269,1,YES,48.8
Q01900,0,YES,10.0
Q9ZDX7,0,NO,0.0
O43151,0,NO,0.0
P33122,1,YES,103.0
Q13316,0,NO,0.0
P0ACS1,1,YES,110.1
Q971T6,1,YES,33.7
P41422,1,YES,14.1
P16691,0,YES,19.3
P54788,1,YES,764.1
Q02827,1,YES,13.2
P54722,1,YES,51.7
P33786,1,YES,16.4
Q8TVA7,0,NO,0.0
O67702,0,NO,0.0
P07387,0,NO,0.0
P12827,0,YES,15.1
Q9BWW9,1,YES,125.4
P10238,0,NO,0.0
O93257,1,YES,401.8
P24536,0,NO,0.0
Q06423,1,YES,18.9
O04006,0,NO,0.0
P22560,1,YES,12.1
P40847,1,YES,13.2
O29848,0,NO,0.0
P10277,1,YES,20.0
P09775,1,YES,79.0
P0ACS8,1,YES,127.0
P56846,0,NO,0.0
Q07864,1,YES,99.3
P25959,1,YES,12.6
Q25297,1,YES,20.0
P23939,1,YES,25.0
Q52913,1,YES,59.0
Q57748,1,YES,122.4
Q9UHF7,1,YES,87.1
P17651,0,NO,0.0
O49498,1,YES,28.3
P03206,1,YES,19.7
P11117,1,YES,342.4
Q9P2Y4,1,YES,316.5
Q58006,1,YES,25.3
P53120,0,YES,9.9
P39230,1,YES,14.1
Q9U1H0,1,YES,81.9
Q92JH6,1,YES,13.2
Q10528,1,YES,35.4
O66516,0,NO,0.0
O27652,1,YES,111.2
P41843,1,YES,108.0
P06463,1,YES,123.4
Q92610,1,YES,108.5
P96335,1,YES,198.0
P12258,1,YES,39.0
P20549,0,NO,0.0
Q64028,1,YES,314.7
Q57733,1,YES,34.7
P37371,1,YES,56.6
P30734,1,YES,62.1
P12978,1,YES,18.3
Q50636,1,YES,11.3
Q9VJE5,1,YES,201.2
P35074,1,YES,734.6
P09804,1,YES,11.5
P35156,0,NO,0.0
Q10116,1,YES,51.3
Q9PR32,0,YES,12.9
P38784,1,YES,19.7
Q9Z3Q6,1,YES,47.2
Q87K77,1,YES,101.4
Q9BQ92,0,NO,0.0
O31663,1,YES,251.4
P62604,1,YES,111.7
P20585,1,YES,615.9
P10480,1,YES,80.3
P39416,1,YES,15.6
Q52997,0,YES,20.5
P20824,1,YES,21.9
O95158,0,YES,17.4
P25921,0,YES,13.6
P44076,1,YES,12.9
P72131,1,YES,158.7
P05552,1,YES,15.0
Q08592,1,YES,15.9
P06921,1,YES,438.0
P04892,1,YES,14.4
P67665,1,YES,211.9
P55147,1,YES,35.9
P75409,1,YES,34.3
Q9T1U6,1,YES,22.4
P46489,1,YES,293.9
Q92530,1,YES,60.8
O61735,1,YES,420.8
P27902,1,YES,708.8
P42411,0,YES,15.5
Q57829,0,YES,12.2
Q96KS9,1,YES,11.6
Q07817,0,YES,196.3
Q57889,1,YES,13.2
Q04893,0,YES,13.8
P10080,1,YES,38.6
Q04769,0,NO,0.0
P40685,0,NO,0.0
O96006,1,YES,81.2
P06022,1,YES,68.1
P24274,0,NO,0.0
Q10621,0,NO,0.0
O35892,1,YES,257.3
P0ACU8,1,YES,18.8
P22536,0,YES,14.1
Q9ZLL4,1,YES,204.4
Q8ZQD5,1,YES,895.3
P37554,1,YES,57.9
Q03513,0,YES,627.7
P03073,1,YES,472.7
P25728,0,NO,0.0
P03626,0,NO,0.0
Q17768,1,YES,27.3
Q95242,1,YES,119.3
O05519,0,YES,337.3
Q14103,1,YES,177.0
P23508,1,YES,117.1
P41046,1,YES,19.0
O43037,0,YES,15.2
Q49988,1,YES,38.7
P22562,1,YES,16.1
Q50533,0,YES,13.8
P74854,0,YES,16.0
Q01522,1,YES,152.5
Q00994,1,YES,112.2
P10180,1,YES,312.0
P13311,0,NO,0.0
Q12766,1,YES,28.7
P31436,0,NO,0.0
Q10095,1,YES,12.2
P64618,1,YES,17.8
Q91193,0,YES,13.3
Q57807,1,YES,25.0
P15579,1,YES,28.4
Q02991,1,YES,58.2
O82368,0,YES,12.2
O30138,0,NO,0.0
P45017,1,YES,402.5
Q92466,1,YES,135.6
P54394,1,YES,358.7
P92979,1,YES,83.3
Q55143,1,YES,58.8
Q8KRZ2,1,YES,49.0
O13988,1,YES,32.7
P25846,1,YES,509.0
P73246,0,NO,0.0
P55615,1,YES,303.4
Q58121,1,YES,23.1
Q8N2C9,0,NO,0.0
Q07608,0,YES,142.0
P83714,1,YES,71.2
Q8KGC5,0,YES,68.4
O28269,0,YES,16.2
P72929,1,YES,39.4
Q02930,1,YES,345.2
Q9BX26,1,YES,17.5
O16810,1,YES,452.4
P74373,1,YES,195.3
P38826,0,NO,0.0
P52168,1,YES,231.3
P27476,1,YES,163.0
P75551,1,YES,202.5
P50089,0,YES,11.4
P67671,1,YES,24.3
Q9ZM26,1,YES,120.4
Q57574,1,YES,27.0
Q9FXW5,1,YES,21.9
P36558,0,NO,0.0
Q88X36,1,YES,118.2
O83149,1,YES,130.3
O76332,0,NO,0.0
P37728,1,YES,161.7
P25545,1,YES,238.5
P48417,1,YES,535.0
P0AFJ0,0,NO,0.0
O13862,1,YES,55.9
P37376,0,NO,0.0
P46481,0,NO,0.0
Q8ED69,1,YES,170.5
P58497,1,YES,203.6
P05678,0,NO,0.0
P38285,1,YES,61.5
P19323,1,YES,280.7
P26328,1,YES,11.8
P13925,1,YES,243.5
P53895,1,YES,12.8
P27536,1,YES,28.2
Q45760,0,NO,0.0
P29590,0,YES,46.1
O67779,1,YES,199.3
P36720,1,YES,568.4
Q9V576,1,YES,217.3
P64753,0,YES,12.7
P52959,1,YES,343.8
P03048,0,NO,0.0
P30890,0,YES,12.8
P49415,1,YES,57.1
P03213,1,YES,11.8
Q00158,0,NO,0.0
P77774,1,YES,51.0
Q9ZL91,1,YES,10.7
P19060,1,YES,13.7
P42226,1,YES,486.9
P08161,0,NO,0.0
P26398,0,YES,191.5
P39389,1,YES,309.0
P03859,0,YES,219.4
P0ACE5,1,YES,43.8
O67748,0,NO,0.0
P0A3K0,0,YES,16.4
P42113,1,YES,129.8
P51092,1,YES,287.6
P03030,1,YES,164.9
P06023,0,YES,13.8
Q57914,0,YES,11.9
P41739,1,YES,533.8
Q93CE9,0,YES,11.0
P41968,1,YES,98.9
P41432,0,NO,0.0
Q92372,1,YES,457.9
Q8WXI4,1,YES,63.7
P48988,1,YES,377.7
Q9UJT0,1,YES,274.0
O69583,1,YES,31.8
P40759,1,YES,46.5
P76062,0,NO,0.0
P29784,0,NO,0.0
P76035,0,YES,15.2
P51826,1,YES,10.5
O70133,1,YES,538.0
Q10363,0,NO,0.0
Q03410,0,NO,0.0
Q9ZDL0,0,NO,0.0
P40222,1,YES,17.8
P31778,1,YES,42.6
P0AFW1,0,YES,12.8
P27140,1,YES,110.7
P34441,1,YES,31.3
P29280,1,YES,36.7
P15894,0,YES,84.0
P15363,0,NO,0.0
P0ADK7,1,YES,16.7
O57863,1,YES,324.5
P42720,1,YES,55.2
O75132,0,YES,289.7
P30317,1,YES,1345.4
P53071,0,YES,11.9
P0AC51,1,YES,46.8
P52382,1,YES,27.8
P16472,1,YES,67.9
P39236,0,NO,0.0
Q9H503,1,YES,70.2
P42551,0,YES,11.6
Q02556,1,YES,325.0
Q02600,1,YES,17.1
Q46909,1,YES,90.7
P05998,0,NO,0.0
O67169,0,NO,0.0
P20193,0,YES,10.7
P07248,1,YES,279.4
P27873,1,YES,13.4
Q09435,1,YES,264.9
Q9ZMY3,1,YES,343.4
P22760,1,YES,355.2
P14199,0,YES,51.4
P03688,1,YES,199.7
Q8TSV8,0,NO,0.0
P15330,1,YES,292.5
P42166,1,YES,393.9
O44960,1,YES,284.2
O43531,0,YES,13.6
P13192,0,YES,12.5
P63300,1,YES,31.4
P08558,0,NO,0.0
P34427,0,YES,8.6
P13002,1,YES,402.7
Q04975,1,YES,31.7
Q58983,0,NO,0.0
Q10167,0,YES,12.6
P05842,0,YES,127.6
Q09184,0,YES,77.0
Q9CG78,1,YES,80.0
Q57805,0,NO,0.0
Q17388,1,YES,14.4
O63852,1,YES,145.2
P75679,1,YES,53.1
O29560,0,NO,0.0
P34380,1,YES,12.9
P39609,0,YES,15.0
Q01821,1,YES,13.3
Q00312,0,YES,18.9
P0A0P6,0,YES,15.4
P41567,0,NO,0.0
P28932,0,NO,0.0
P53300,1,YES,12.8
P58359,1,YES,38.3
P42975,1,YES,100.0
Q98R58,1,YES,23.5
P41846,1,YES,186.4
P40114,1,YES,244.8
Q9PQS0,1,YES,61.9
Q9YAX2,1,YES,84.0
P18629,1,YES,312.9
Q24371,1,YES,308.4
Q9C0B5,1,YES,656.1
O95295,1,YES,71.7
Q57915,0,YES,15.4
P27426,0,YES,49.1
Q8WW38,1,YES,418.3
P0A9U6,1,YES,32.8
Q06260,0,YES,11.9
P03045,0,NO,0.0
P47347,1,YES,15.1
Q8X835,1,YES,195.2
P10258,1,YES,733.5
O29831,0,NO,0.0
P10486,1,YES,525.1
O13339,0,NO,0.0
P64621,0,YES,12.4
P18016,0,NO,0.0
P40396,1,YES,11.4
O10308,1,YES,137.7
P19770,1,YES,12.7
P07636,1,YES,41.9
Q09799,0,YES,12.2
Q27675,1,YES,25.3
O66525,1,YES,18.4
P17890,0,YES,27.4
Q08288,1,YES,143.6
O14017,1,YES,16.0
P17312,0,YES,48.7
Q9V2M0,1,YES,59.0
O31697,0,NO,0.0
P02964,1,YES,42.5
P54511,1,YES,91.0
P24349,1,YES,66.4
P39426,0,YES,12.8
P10590,0,YES,18.3
O51240,1,YES,63.1
P69830,0,NO,0.0
Q7WY76,1,YES,57.6
Q60275,1,YES,307.0
Q9BYK8,1,YES,145.2
P43935,0,NO,0.0
P21223,1,YES,17.6
Q46942,1,YES,35.4
Q9HAU0,1,YES,184.4
Q96T58,1,YES,35.3
Q03162,1,YES,21.1
P28745,0,YES,322.3
Q09488,1,YES,287.9
O51173,1,YES,10.8
Q38087,1,YES,708.0
P54479,1,YES,81.3
P68913,1,YES,105.8
P39356,1,YES,146.6
Q9T1U3,1,YES,112.2
P20482,1,YES,144.4
P29840,1,YES,14.0
Q9KSW4,1,YES,84.9
P11978,0,NO,0.0
P14109,0,NO,0.0
P33783,0,NO,0.0
P0AFY9,1,YES,185.6
P03835,1,YES,124.8
P39232,1,YES,10.3
P36190,0,YES,12.6
Q9S1G2,1,YES,802.9
Q34879,1,YES,262.2
Q05335,1,YES,238.9
P46951,0,NO,0.0
O83389,0,NO,0.0
Q89A56,1,YES,122.5
Q51480,1,YES,122.7
Q39233,1,YES,129.3
P23737,1,YES,222.9
P23464,0,NO,0.0
Q04399,1,YES,166.1
P38296,0,NO,0.0
O13472,0,YES,89.9
P17909,1,YES,13.9
O61764,1,YES,825.2
Q60278,1,YES,26.4
Q10488,0,YES,247.9
P14706,1,YES,12.2
Q9CPU4,1,YES,55.9
Q28065,1,YES,549.3
Q05245,1,YES,12.0
Q9PQZ2,0,YES,15.1
P06875,1,YES,37.3
P42408,1,YES,28.9
Q7V7T9,1,YES,167.0
P07908,1,YES,12.2
P30524,1,YES,24.7
O00571,1,YES,340.0
P44280,0,YES,12.0
P60231,1,YES,247.6
Q21735,1,YES,92.7
P62177,1,YES,196.1
Q93118,1,YES,19.5
P04524,1,YES,14.8
P77700,1,YES,217.7
P34670,1,YES,183.3
P36598,1,YES,385.2
P11870,0,YES,19.4
P0A9R3,1,YES,17.4
P55449,1,YES,54.7
P39605,1,YES,190.8
O53712,1,YES,57.0
P29549,1,YES,21.1
