identifier,metric,found_hit
O67748,0,NO
P0A3K0,0,YES
P42113,1,YES
P51092,1,YES
P03030,1,YES
P06023,0,YES
Q57914,0,YES
P41739,1,YES
Q93CE9,0,YES
P41968,1,YES
P41432,0,NO
Q92372,1,YES
Q8WXI4,1,YES
P48988,1,YES
Q9UJT0,1,YES
O69583,1,YES
P40759,1,YES
P76062,0,NO
P29784,0,NO
P76035,0,YES
P51826,1,YES
O70133,1,YES
Q10363,0,NO
Q03410,0,NO
Q9ZDL0,0,NO
P40222,1,YES
P31778,1,YES
P0AFW1,0,YES
P27140,1,YES
P34441,1,YES
P29280,1,YES
P15894,0,YES
P15363,0,NO
P0ADK7,1,YES
O57863,1,YES
P42720,1,YES
O75132,0,YES
P30317,1,YES
P53071,0,YES
P0AC51,1,YES
P52382,1,YES
P16472,1,YES
P39236,0,NO
Q9H503,1,YES
P42551,0,YES
Q02556,1,YES
Q02600,1,YES
Q46909,1,YES
P05998,0,NO
O67169,0,NO
P20193,0,YES
P07248,1,YES
P27873,1,YES
Q09435,1,YES
Q9ZMY3,1,YES
P22760,1,YES
P14199,0,YES
P03688,1,YES
Q8TSV8,0,NO
P15330,1,YES
P42166,1,YES
O44960,1,YES
O43531,0,YES
P13192,0,YES
P63300,1,YES
P08558,0,NO
P34427,0,YES
P13002,1,YES
Q04975,1,YES
Q58983,0,NO
Q10167,0,YES
P05842,0,YES
Q09184,0,YES
Q9CG78,1,YES
Q57805,0,NO
Q17388,1,YES
O63852,1,YES
P75679,1,YES
O29560,0,NO
P34380,1,YES
P39609,0,YES
Q01821,1,YES
Q00312,0,YES
P0A0P6,0,YES
P41567,0,NO
P28932,0,NO
P53300,1,YES
P58359,1,YES
P42975,1,YES
Q98R58,1,YES
P41846,1,YES
P40114,1,YES
Q9PQS0,1,YES
Q9YAX2,1,YES
P18629,1,YES
Q24371,1,YES
Q9C0B5,1,YES
O95295,1,YES
Q57915,0,YES
P27426,0,YES
Q8WW38,1,YES
P0A9U6,1,YES
Q06260,0,YES
P03045,0,NO
P47347,1,YES
Q8X835,1,YES
P10258,1,YES
O29831,0,NO
P10486,1,YES
O13339,0,NO
P64621,0,YES
P18016,0,NO
P40396,1,YES
O10308,1,YES
P19770,1,YES
P07636,1,YES
Q09799,0,YES
Q27675,1,YES
O66525,1,YES
P17890,0,YES
Q08288,1,YES
O14017,1,YES
P17312,0,YES
Q9V2M0,1,YES
O31697,0,NO
P02964,1,YES
P54511,1,YES
P24349,1,YES
P39426,0,YES
P10590,0,YES
O51240,1,YES
P69830,0,NO
Q7WY76,1,YES
Q60275,1,YES
Q9BYK8,1,YES
P43935,0,NO
P21223,1,YES
Q46942,1,YES
Q9HAU0,1,YES
Q96T58,1,YES
Q03162,1,YES
P28745,0,YES
Q09488,1,YES
O51173,1,YES
Q38087,1,YES
P54479,1,YES
P68913,1,YES
P39356,1,YES
Q9T1U3,1,YES
P20482,1,YES
P29840,1,YES
Q9KSW4,1,YES
P11978,0,NO
P14109,0,NO
P33783,0,NO
P0AFY9,1,YES
P03835,1,YES
P39232,1,YES
P36190,0,YES
Q9S1G2,1,YES
Q34879,1,YES
Q05335,1,YES
P46951,0,NO
O83389,0,NO
Q89A56,1,YES
Q51480,1,YES
Q39233,1,YES
P23737,1,YES
P23464,0,NO
Q04399,1,YES
P38296,0,NO
O13472,0,YES
P17909,1,YES
O61764,1,YES
Q60278,1,YES
Q10488,0,YES
P14706,1,YES
Q9CPU4,1,YES
Q28065,1,YES
Q05245,1,YES
Q9PQZ2,0,YES
P06875,1,YES
P42408,1,YES
Q7V7T9,1,YES
P07908,1,YES
P30524,1,YES
O00571,1,YES
P44280,0,YES
P60231,1,YES
Q21735,1,YES
P62177,1,YES
Q93118,1,YES
P04524,1,YES
P77700,1,YES
P34670,1,YES
P36598,1,YES
P11870,0,YES
P0A9R3,1,YES
P55449,1,YES
P39605,1,YES
O53712,1,YES
P29549,1,YES
Q8FL24,1,YES
Q9JJ93,1,YES
P30628,1,YES
Q92985,1,YES
P26396,1,YES
Q99335,1,YES
P36673,1,YES
P37398,1,YES
P76369,1,YES
Q9SZ67,1,YES
P18471,1,YES
P36816,1,YES
P93022,1,YES
P0ACH3,0,YES
P28340,1,YES
P59697,1,YES
Q03508,0,YES
Q9C8Z4,0,NO
P70955,1,YES
Q58038,1,YES
P55613,1,YES
P45367,1,YES
Q8TD26,1,YES
Q09389,1,YES
P53038,1,YES
P01347,1,YES
Q9CBW3,1,YES
P17410,1,YES
P13483,0,YES
Q9VNB3,1,YES
P46887,0,NO
O66616,0,NO
Q99941,1,YES
P57189,0,NO
Q02645,1,YES
O67286,1,YES
Q07892,0,NO
Q96QU1,1,YES
P12351,1,YES
Q9H171,1,YES
P92540,0,NO
Q9C0Z1,1,YES
P33419,0,NO
O31829,0,NO
P53858,0,NO
Q8X1E6,1,YES
Q09457,1,YES
P29933,1,YES
Q43848,1,YES
P10627,1,YES
P13320,0,YES
Q9BVI0,0,YES
P39143,0,YES
P0ACU3,1,YES
Q9WU72,1,YES
Q7VKY2,1,YES
Q00059,1,YES
P09546,0,YES
P45570,1,YES
P38096,1,YES
Q9Z1E4,1,YES
P39521,1,YES
P21057,1,YES
P34648,0,YES
P0A614,1,YES
Q10689,0,NO
P25150,1,YES
P23336,1,YES
P22147,1,YES
Q9CMQ6,0,YES
P38339,1,YES
Q8TCZ9,0,NO
Q03576,1,YES
Q8EWC5,1,YES
Q93WU8,1,YES
Q9I106,1,YES
P42964,1,YES
P25287,0,NO
P47212,1,YES
Q9Z985,1,YES
P25302,1,YES
Q9V8R9,1,YES
Q09452,1,YES
O51157,1,YES
P54587,1,YES
P27753,0,YES
Q9Y1B2,1,YES
O60673,1,YES
P0A2S7,1,YES
Q60338,1,YES
Q7UZM7,0,YES
P27211,0,YES
P64327,1,YES
P19822,1,YES
Q92JK0,0,YES
P22876,1,YES
P76308,0,NO
P32445,1,YES
Q9JMT9,1,YES
O33060,1,YES
P54987,1,YES
O83586,0,YES
Q63505,0,NO
Q02481,1,YES
O30477,1,YES
Q57668,1,YES
O75717,0,YES
Q89AH5,1,YES
Q9JIK1,1,YES
P75437,1,YES
Q09358,0,NO
P21969,0,NO
P43975,1,YES
O34162,1,YES
Q10260,0,NO
P14565,0,NO
Q58144,1,YES
P44158,1,YES
P70795,0,NO
O43102,1,YES
Q8N2W9,1,YES
P55389,1,YES
Q09501,1,YES
Q9U7E0,1,YES
Q9NQ90,1,YES
Q8YQL3,1,YES
Q13761,1,YES
P38253,1,YES
Q9Y829,1,YES
P34289,1,YES
P09959,1,YES
P48972,1,YES
P16909,0,YES
Q8RA66,1,YES
P32280,0,NO
P12551,1,YES
P13342,0,NO
P47362,0,NO
P08979,1,YES
P54000,1,YES
Q90867,1,YES
Q9Z0X2,1,YES
P03131,1,YES
P26417,1,YES
P46118,1,YES
P22816,1,YES
P53726,1,YES
P27204,0,NO
P0A6X5,0,YES
P40267,1,YES
O83550,1,YES
P17637,0,NO
Q9Y618,1,YES
Q57852,0,YES
P13733,0,YES
P03690,0,NO
Q57532,1,YES
P17150,1,YES
Q9Z330,1,YES
P21562,0,YES
Q01108,1,YES
P34450,1,YES
Q9ZDU3,0,NO
P09806,0,NO
P32343,1,YES
P24850,0,NO
P43634,1,YES
Q8CGW4,1,YES
P49790,0,YES
P77245,1,YES
P45447,1,YES
P75961,0,NO
P19705,1,YES
Q8NEZ4,0,YES
P42603,0,NO
Q9LSE2,1,YES
Q9ZLC8,1,YES
P62536,1,YES
Q47129,1,YES
P47174,0,NO
Q02835,1,YES
Q9BYV9,1,YES
P49777,1,YES
Q92GC8,1,YES
P03009,0,YES
P13991,0,YES
P22813,1,YES
O28251,1,YES
P43938,0,NO
Q09303,1,YES
P0A977,1,YES
Q96N03,1,YES
Q9UL49,1,YES
P36044,1,YES
Q9P0M6,1,YES
O32138,1,YES
P54910,0,YES
Q14191,1,YES
Q9P7Q5,0,NO
Q07152,1,YES
Q48264,0,YES
P21657,1,YES
Q9BV73,0,YES
Q8GNT2,0,YES
P03671,0,YES
Q57240,1,YES
P80484,0,NO
Q84173,1,YES
O93745,1,YES
P76114,1,YES
P25060,1,YES
P46666,0,NO
Q07750,1,YES
P0A3J5,1,YES
Q7VMD6,1,YES
Q05490,1,YES
Q87QP4,1,YES
P32678,1,YES
Q58553,1,YES
P47803,1,YES
P16723,0,NO
P38698,1,YES
P53354,1,YES
P33308,1,YES
Q97JQ5,1,YES
O60756,0,YES
Q9PHE9,1,YES
P47152,1,YES
P16790,1,YES
P33296,1,YES
Q9JJY4,1,YES
P11455,1,YES
P48437,1,YES
Q02224,1,YES
P22260,1,YES
Q9LXX6,1,YES
P46372,1,YES
Q9T1P7,0,NO
P16763,1,YES
O95239,0,YES
P79769,1,YES
O51066,1,YES
P09391,0,YES
Q9NX36,0,YES
Q92966,1,YES
P44876,1,YES
Q9EXD1,1,YES
Q9YER5,0,NO
O85807,1,YES
P03010,1,YES
Q03439,1,YES
Q9DE13,1,YES
P09276,1,YES
P36704,0,YES
P03552,1,YES
Q99551,1,YES
Q04310,1,YES
P53089,1,YES
Q8ZBM3,0,NO
P92521,0,YES
Q89AY1,1,YES
Q03034,1,YES
O80341,1,YES
P66808,1,YES
P96708,1,YES
Q92I62,1,YES
Q58477,1,YES
P0ADH4,1,YES
Q9KPI4,1,YES
P40458,0,YES
P14309,0,NO
Q00166,0,NO
P33651,1,YES
O28985,0,NO
Q09684,1,YES
Q50782,1,YES
Q09150,1,YES
P53736,0,NO
Q821Z3,1,YES
P05195,1,YES
P82979,1,YES
P41900,1,YES
P34021,1,YES
P75970,1,YES
P34480,1,YES
O43310,0,YES
P44192,0,YES
O66427,0,NO
Q9UKR8,1,YES
Q22236,1,YES
P68592,0,NO
O28675,0,NO
P34706,0,NO
O31797,0,NO
P16793,0,YES
P12954,1,YES
Q05913,1,YES
Q8WXW3,0,NO
P39784,1,YES
P80304,1,YES
Q10103,0,YES
Q95XZ0,1,YES
Q10365,0,YES
Q10115,1,YES
Q38740,1,YES
P03209,1,YES
P46358,1,YES
Q02479,1,YES
Q87L49,1,YES
P40508,1,YES
P40985,1,YES
P38078,0,YES
P77504,0,NO
P64379,1,YES
O29506,0,NO
P43161,1,YES
P20665,1,YES
Q04671,1,YES
P17368,1,YES
P44308,0,NO
P40820,0,YES
Q84123,0,NO
P28813,0,YES
P52696,1,YES
Q94131,1,YES
P07273,1,YES
O83744,0,YES
P55378,0,YES
O51112,0,YES
O66765,0,NO
P34160,1,YES
P68475,0,NO
P53551,1,YES
Q9VF30,1,YES
Q51761,1,YES
P39529,1,YES
O83046,1,YES
Q57935,1,YES
P13090,1,YES
Q86US8,1,YES
P40196,1,YES
P47062,1,YES
O14746,0,NO
P87503,1,YES
Q89AT6,1,YES
O57595,0,NO
Q10875,1,YES
O07827,1,YES
P03197,0,YES
P20564,0,NO
P77569,1,YES
Q9M156,1,YES
P17311,0,NO
P34206,1,YES
Q61329,1,YES
P11020,0,NO
O74419,1,YES
P54089,0,NO
Q7M1E7,1,YES
Q47005,1,YES
Q9FIE3,1,YES
P64462,1,YES
Q58940,1,YES
Q58793,1,YES
Q37374,1,YES
Q56362,1,YES
P51237,1,YES
O43952,0,YES
Q57734,1,YES
Q08120,1,YES
P36089,0,NO
Q09621,1,YES
P20184,0,YES
Q15648,1,YES
O28575,1,YES
P52520,1,YES
O67201,0,YES
Q09266,0,YES
Q50723,1,YES
Q9P2G4,0,NO
P19807,1,YES
P22184,1,YES
P53438,1,YES
O67771,0,YES
P37682,1,YES
P05531,0,YES
P40798,1,YES
P22404,1,YES
P30630,0,YES
P14064,1,YES
P54638,1,YES
O43593,1,YES
P20020,1,YES
Q9U3V5,1,YES
P09181,1,YES
Q87KD8,1,YES
P16724,0,YES
Q9Y6C7,0,NO
Q9NS93,0,YES
P22251,1,YES
Q18726,1,YES
P30318,1,YES
P40511,0,NO
Q52279,0,NO
Q96KM6,1,YES
Q96EK4,1,YES
