identifier,cluster
A3LQV7,75
A5DF43,75
B9WLA7,75
C4YLC3,75
Q6BY37,75
A3LZM4,76
A3M0E6,77
Q57646,78
Q9UK96,79
P19881,80
O04006,81
P55554,82
O28269,83
Q00136,84
P04982,85
Q09318,86
P20949,87
P22026,88
Q10260,89
P38315,90
P13440,91
P44064,92
Q9ZCW9,93
P45207,94
P38698,95
Q9ZJ29,96
P04531,97
Q8U705,98
Q01821,99
Q97JN9,100
Q9XD50,101
Q09700,102
P39419,103
Q10689,104
Q99KC8,105
Q7M1E7,106
P43975,107
P37530,108
P09676,109
O43037,110
P49029,110
P03213,111
Q57776,112
P19060,113
P24001,114
O66427,115
P35823,116
Q9P2W6,117
P07277,118
P14706,119
Q09621,120
P47362,121
P77136,122
P06925,123
Q9PJK8,124
Q9P2G4,125
O28092,126
P15894,127
O14009,128
P16723,129
P41567,130
P93284,131
Q56562,132
Q58553,133
Q05605,134
P23645,135
Q03961,136
P65023,137
P40985,138
P10480,139
P0AD55,140
Q9VNB3,141
Q9Z8A0,142
P44280,143
P31877,144
P0ADK7,145
Q9ZDB2,146
O83586,147
Q9PQZ2,148
P55387,149
P15895,150
P19287,151
Q9MAG6,152
A7XGN8,152
Q8W4J9,152
P37627,153
Q9YAA0,154
Q9R9R6,155
P54177,156
P42408,157
P47174,158
P41432,159
P45828,160
P23839,161
Q926A7,162
O14017,163
P21339,164
P10027,165
P32151,166
Q06423,167
Q978N2,168
Q9Y6R4,169
P36798,170
Q80958,170
P36790,170
P36797,170
P36801,171
P50776,171
P36804,171
P36805,171
P50775,171
Q80907,171
P36810,172
P27229,172
P36813,173
P36814,174
P06427,174
P26555,174
P17386,174
P03126,174
P27228,174
P24835,174
P21735,174
P27962,174
P50804,174
P54667,174
P06463,174
P22159,174
P24836,174
P36809,174
P36815,174
Q80955,174
P36811,174
Q9JH51,174
P26554,174
P36807,174
P36820,175
P50780,175
P50781,175
Q80908,175
P50782,175
P36830,175
P06430,175
P06932,175
P22423,175
P26559,175
P36819,175
P50811,175
P36823,175
P36822,175
P50779,175
P50778,175
P36817,175
Q80901,175
P36821,175
P36827,176
P27231,176
P36828,177
P36932,178
P36981,179
P37317,180
P37326,180
P37384,181
Q39009,181
Q7GBF8,181
Q7GBF7,181
B8BM09,181
Q61880,181
Q14565,181
Q27297,181
P25454,181
O77507,181
P36601,181
P37383,181
P70099,181
P94102,181
Q06609,181
Q08297,181
Q2KJ94,181
Q8MKI8,181
Q99133,181
Q67EU8,181
Q91917,181
Q91918,181
Q9XED7,181
Q40134,181
P50265,181
P25453,181
O42634,181
P37416,182
P06709,182
P37469,183
P37517,184
P37540,185
P37740,186
P37971,187
P37970,187
P38018,188
P38035,189
P38133,190
O68887,190
Q82EA9,190
P38141,191
P38683,192
P38845,193
B3LSR0,193
C7GJZ2,193
C8Z9U3,193
E7KDM2,193
E7NIP0,193
P39140,194
P39334,195
P39347,196
P08320,196
P39399,197
P39410,198
P39413,199
P39647,200
P39667,201
P39679,202
P39694,203
P39788,204
P39796,205
P39885,206
P39961,207
P40002,208
P40041,209
P40418,210
P40625,211
P40631,212
P40649,213
Q28EW4,213
Q9HTH5,214
Q9HUI2,215
Q9HWH8,216
Q9I0I1,217
Q9I1F6,218
Q9I1P2,219
Q9I1W5,220
Q87ZG4,220
Q0JYN7,220
Q9I6Z9,221
Q9IIH4,222
Q9QM72,222
P42672,222
Q9JH50,223
P36824,223
P36826,223
P26558,223
P36831,223
Q80956,223
P36832,223
P36833,223
Q9JN69,224
Q9JZG4,225
Q9JUK9,225
Q9K4V0,226
Q9K4U8,226
Q9K8A0,227
Q5WEK0,227
B1YJY5,227
C0Z9F1,227
A7Z7E7,227
A4IRL1,227
C5D5Q8,227
P94545,227
Q5KWF8,227
Q65GE2,227
Q8EPI1,227
A0RJF2,227
A7GTK1,227
A9VJL2,227
B7HF67,227
B7HRJ3,227
B7IJV1,227
B7JR57,227
C3L808,227
Q633P2,227
Q6HCX6,227
Q72ZJ0,227
Q9K9A8,228
P54560,228
Q9KJN4,229
Q49XM7,229
Q4L6C6,229
Q5HPC3,229
Q8CP82,229
Q99U73,229
Q9KM23,230
Q9KNA8,231
P00914,231
P25078,231
Q9KQF5,232
Q8Z6F5,232
P14294,232
P40687,232
Q9CP53,232
P43704,232
Q9KRC1,233
A7N1L2,233
B6EH86,233
B7VMG4,233
Q7MJ57,233
Q87QW9,233
B5FF00,233
Q6LQB9,233
Q5E4H9,233
Q9KS67,234
Q9L132,235
Q9L9G1,236
Q9LAI2,237
Q9LDY8,238
Q93VY3,238
Q9C932,238
A0A3Q7HH64,238
Q75HE5,238
Q9SQL0,238
Q9LET0,239
O80674,239
Q9LFN7,240
Q3E958,240
B6T5Z6,240
Q9XI33,240
Q8ZSD2,241
Q8ZTY0,242
Q8ZWG7,243
Q8ZZL8,244
Q8ZZU1,245
Q90162,246
P18131,246
P41712,246
Q83948,246
Q90472,247
Q90X25,248
P31276,248
P50207,248
Q1KKV4,248
Q6JIY5,248
P79724,248
Q6W990,248
Q1KKZ6,248
Q1KL22,248
P35453,248
P70217,248
P24344,248
Q5EU41,248
Q1ECY2,248
Q1KKY3,248
Q9IA17,248
Q62424,248
P31271,248
Q92826,248
P70321,248
Q6JIY4,248
Q914K8,249
Q91685,250
P21711,250
Q91907,251
O42230,251
Q91EK1,252
Q91F72,253
Q91FI1,254
Q93C64,255
Q93K57,256
O31494,256
Q9Z9W1,256
Q93ML3,257
Q82ZW4,257
A0QQJ4,258
P9WNE1,258
P67966,259
Q16527,259
P50463,259
Q4U0T9,259
P50462,259
P50461,259
A0A1S4GMJ4,260
O54863,261
Q96PF2,261
Q9BXA7,261
Q9M2U2,262
P05160,263
O31602,264
Q9QXK8,265
P12760,265
P48645,265
Q93380,266
P09683,267
Q08535,267
P11384,267
Q9HCS7,268
A1Z9G2,268
Q96C74,269
Q9ULV8,270
G3V8H4,270
Q9H3R2,271
Q9H4M7,272
O54689,273
P51684,273
Q6NTE8,274
Q66GV6,275
A0A8M3B525,275
Q4VA72,275
P46737,275
A5PJP6,275
P46736,275
B0KWU8,275
Q5R9L6,275
B2RYM5,275
P32825,276
Q9BYX2,277
Q96PJ5,278
Q5VWK5,279
Q8K4B4,279
K7EJ46,280
P32529,281
Q99PQ2,282
Q96F44,282
B1H278,282
Q3LRV9,283
Q91Z84,284
Q9NPF7,284
Q6LA37,284
Q9EQ14,284
Q9N2H9,284
K7QRJ5,285
Q9H741,286
Q9UDR5,287
Q99K67,287
O34919,288
Q09814,289
P29147,290
Q02337,290
P42271,291
P23257,291
P38557,291
P23258,291
Q0VCD2,291
P38558,291
P83887,291
P25295,291
P53377,291
A0A644F0Y1,291
Q06135,292
Q5ANC9,293
Q91ZP3,294
Q14693,294
Q99PI5,294
Q92539,294
Q3V1G4,295
P29107,296
C8WR67,296
E0SRA9,296
Q02138,296
Q61074,297
O15355,297
P42753,298
Q9Y6Q1,299
Q62035,300
P25105,300
Q6UX01,301
Q8WVP7,301
O00399,302
E3Q1H1,303
P06922,304
O44326,305
P48551,306
Q51330,307
O02495,308
P18489,308
Q62442,308
Q15836,308
P63027,308
P63044,308
P63024,308
P63026,308
P23763,308
Q63666,308
Q12860,309
Q63198,309
P12960,309
P40958,310
P13727,311
Q9Y2Y8,311
Q9Y6I9,312
O23403,313
Q8GRX1,314
Q3ECS3,314
Q96DF8,315
Q8TB92,316
P38060,316
P35914,316
Q9I2A0,316
P97519,316
Q8BFY0,317
Q9Y7D1,318
Q6ZVK8,319
P42697,320
Q84XF3,320
Q8LF21,320
Q8TDR4,321
Q88F88,322
Q9I190,322
Q9NLA1,323
P21632,324
Q9SWI1,325
Q9CS00,326
A1L0T0,327
P37351,328
Q94G86,329
Q9Z1M0,330
Q64663,330
P27250,331
P87027,332
O60683,333
Q8C1Q4,334
Q9BQ83,335
Q9Y6C2,336
Q99K41,336
Q21929,337
P21163,338
O43405,339
Q9SU14,340
Q9SJC4,340
P41732,341
P61201,342
Q94899,342
Q9NPH3,343
Q61730,343
P59822,343
Q62893,344
Q16671,344
Q8K592,344
Q6GZ04,345
Q9Z1C7,346
Q8TM02,347
A8MW99,348
Q9BZY9,349
Q8R0K2,349
P92981,350
P92980,350
P92979,350
P51810,351
P21827,352
Q01630,353
Q8CCN5,354
Q9H6U6,354
Q9LY23,355
Q9FLT2,355
Q92843,356
P70345,356
O77737,356
P53563,356
Q07816,356
Q64373,356
Q07817,356
P10247,357
Q94361,358
Q1LWG4,359
Q1HAQ0,359
Q3TFD2,359
Q8NF37,359
P0A6U3,360
Q8R0N9,361
Q8WTX9,361
P77455,362
Q96DA0,363
Q8RWT8,364
Q9Y6H8,365
P29414,365
P41987,365
Q9TU17,365
I3R9M9,366
Q7Z4W1,367
Q8JIS3,367
Q920P0,367
P08074,367
Q91XV4,367
Q91X52,367
P01040,368
Q91VT4,369
Q7TS56,369
Q8N4T8,369
Q0D2H9,370
Q15131,371
Q3UMM4,371
P46892,371
Q9JKX8,372
O75631,372
P38574,372
P70158,373
Q92484,373
Q54RV9,374
P0AA84,375
P31325,376
P07934,376
Q16816,376
P13286,376
P15735,376
Q55BH9,377
Q13685,378
O16785,379
P0DPA9,380
Q6Z955,381
Q9FUJ1,381
O35552,382
O60825,382
P26285,382
P70265,382
Q16875,382
Q28901,382
P16118,382
P07953,382
P70266,382
Q6DTY7,382
Q16877,382
Q9FMD5,383
Q22663,384
P29699,385
P24090,385
P02765,385
P12763,385
O88422,386
Q7Z7M9,386
Q8C102,386
P69478,387
Q9JME2,387
H9N289,388
P9WGP5,389
P36672,390
Q9S7J8,391
Q16586,392
P82350,392
Q8BJF9,393
Q9UQN3,393
Q8K0B2,394
Q9NUN5,394
P29055,395
B2D6K9,396
P10907,397
Q8K1B8,398
Q86UX7,398
F1Q8X5,398
Q96AC1,398
Q8CIB5,398
Q9BQL6,398
P59113,398
P02772,399
P02773,399
P02771,399
Q8VZ56,400
P17654,400
P00693,400
Q9HTQ0,401
Q13519,402
Q62923,402
Q64387,402
P45158,403
P45324,404
P45463,405
Q0TD46,405
Q1R6S1,405
Q8XBK9,405
P45544,406
Q83PX4,406
Q8X835,406
P45612,407
P45671,408
P10576,408
Q04848,408
P10577,408
P45815,409
P45870,410
P45972,411
P46363,412
P46605,413
Q8H991,413
P46835,414
P0A551,414
P47235,415
P48370,415
Q03470,415
Q9ZLD9,415
P47237,416
P47250,417
P22446,417
P47340,418
P75539,418
P47446,419
P75352,419
P47486,420
P75437,420
P47492,421
P48374,422
P49379,423
P49453,424
P49467,425
A0T0D8,425
A0T0R0,425
P49868,426
P31396,426
Q08882,426
P49870,427
P96645,428
Q94A82,429
O75864,430
Q9NZS9,431
Q9NRY2,432
Q9D7I8,433
Q9H4H8,433
P20916,434
P07722,434
P20917,434
P9WH69,435
Q09850,436
Q9SQH6,437
G5EDW2,438
Q96NL8,439
Q8WV93,440
Q53S33,441
Q6L1T2,442
Q9MYW3,443
P58727,443
Q9QX05,443
Q9QUK6,443
Q9WV82,443
Q68Y56,443
Q9TSP2,443
Q8SPE8,443
Q8SPE9,443
O00206,443
Q9TTN0,443
Q2V898,443
Q9GL65,443
P0ACV0,444
Q9WTX8,445
Q9Y6D9,445
P54631,446
P0ACE7,447
Q562C9,448
Q99JT9,448
Q6AWN0,448
P9WQD1,449
Q9Z1E3,450
P25963,450
Q08353,450
Q63746,450
F4JP36,451
Q9I433,452
F2XG53,453
Q64LD2,454
O35987,455
Q9UNZ2,455
Q9CZ44,455
Q0WUY1,456
O13547,457
Q7JQD3,458
P34795,459
Q56839,460
Q8BZL1,461
Q8WWR8,461
Q9H6S1,462
Q9QYP6,462
P07256,463
Q8GR64,464
Q4W6G0,464
P0C152,465
Q5HYA8,465
Q8BR76,465
Q8ZNF3,466
P77690,466
Q9FIW4,467
Q9Z214,468
Q86YM7,468
Q9NSC5,468
Q9NSB8,468
Q9QWW1,468
O88801,468
Q7Q2T8,469
Q86WA6,470
P9WPX5,471
P44046,472
P43341,472
G5EDE2,473
G5EET5,473
O59858,474
P40581,474
P38143,474
P36014,474
Q5JH93,475
Q6UXB2,476
Q5UW37,476
P32144,477
P32786,478
P32805,479
P33181,480
P33200,481
P33288,482
P33417,483
P33610,484
P49643,484
O89044,484
P33749,485
P34243,486
P34522,487
P34663,488
P36023,489
A7A024,489
B3LRD9,489
C7GX75,489
P36036,490
A7A075,490
B3LQP5,490
C8ZBW6,490
P36070,491
P36080,492
P36093,493
P36106,494
P36145,495
P36167,496
P36659,497
A1A9Q7,497
A7ZKA5,497
A8AI78,497
A8GIL6,497
A9MH53,497
A9N6S2,497
B1LJ04,497
B2TTP8,497
B5YU43,497
B7LFA9,497
B7LP19,497
B7N3F5,497
B7NLC5,497
Q0T634,497
Q32HR2,497
Q3Z3C3,497
Q57QP2,497
Q1I490,497
A5W9N6,497
B0KK26,497
B1J5W7,497
Q87VN8,497
Q88DH7,497
P37338,498
P37382,499
P16370,499
P37411,500
P0AES4,500
P14829,500
P41513,500
Q89AS3,500
P43700,500
P48369,500
P48372,500
P57277,500
Q8K9W2,500
P48371,500
P37878,501
P38022,502
P38082,503
P38204,504
P38516,505
P38564,506
P38699,507
P38749,508
P38877,509
P39145,510
P39404,511
P39735,512
P39813,513
P39881,514
P39897,515
P39933,516
P40040,517
P40151,518
P40154,519
P40382,520
P40467,521
P40473,522
P40489,523
P40522,524
P40574,525
P40656,526
P40657,527
P40965,528
P41158,529
P28324,529
P41772,530
O34766,531
O34791,532
O34892,533
O55725,534
O58741,535
Q8U2H1,535
Q9V029,535
O59309,536
Q8U067,536
Q9V1E5,536
O66469,537
O67189,538
O68025,539
O69717,540
O70075,541
O83371,542
P06735,543
P0A0C8,543
P13968,543
P0A0Y9,544
B7VJS5,544
P0AGK8,544
Q0WD07,544
A1JKQ1,544
A4WDB2,544
A6TCF2,544
A7MGX6,544
A7MU47,544
A8A337,544
A8AD51,544
A8GHY4,544
A9MHJ3,544
A9N1X3,544
B2VI31,544
B5F1C1,544
B5XNJ6,544
B6EGX4,544
C5BEU6,544
C6DBJ2,544
Q2NS30,544
Q6D258,544
Q6LU63,544
Q7MNG3,544
Q7N223,544
Q87S29,544
Q8GLE9,544
Q9KTY3,544
P44675,544
P0ACN2,545
P0AFU6,546
P15255,547
P15482,548
P19780,549
P24580,550
P69961,550
P27238,551
P28815,552
P30198,553
P32512,554
P33395,555
P34536,556
P37335,557
P37486,558
P96673,558
O34533,558
P42406,558
O27346,558
O31679,558
P38780,559
P39505,560
P39601,561
P40628,562
P43936,563
P44014,564
P44030,565
P44191,566
P44207,567
P44256,568
P44558,569
P45908,570
P46494,571
P45771,571
P47478,572
P52604,573
P52605,573
P54306,574
P36426,574
Q9Z850,574
B0B7W4,574
Q253K3,574
Q3KLV9,574
Q824B0,574
Q8GH81,574
P54431,575
P54459,576
P55392,577
P55393,578
P55409,579
P55411,580
P55426,581
P55481,582
P55502,583
P55587,584
P55620,585
P80011,585
P55631,586
P55640,587
P55729,588
P56259,589
P58430,590
P60471,591
P61662,592
P62033,593
P40813,594
P08957,594
P07989,594
P40883,595
P41152,596
P41154,597
Q00613,597
P38529,597
P38532,597
Q08DJ8,597
P41508,598
P41817,599
P41995,600
P42077,601
P42074,601
P42075,601
P42078,601
Q55348,601
P42136,602
P42147,602
P42145,603
O18745,603
P42131,603
P42132,603
P42137,603
P42138,603
P42139,603
P42142,603
P42143,603
P42152,603
P67836,603
P67838,603
P67841,603
P79990,603
Q9GLP9,603
Q9GLQ0,603
Q9GLQ1,603
Q9GLQ8,603
Q866P6,603
P42180,604
O59256,604
Q58133,604
Q9V159,604
P42244,605
P42421,606
P42968,607
P43015,608
Q5PEB1,608
P43016,608
P43741,609
Q9F173,609
P00582,609
Q9HT80,609
P43746,610
P43841,611
P43871,612
P44319,613
P0AB83,613
Q89AW4,613
O05956,613
Q4UK93,613
Q68W04,613
Q92GH4,613
O83754,613
P57219,613
Q8KA16,613
P44647,614
P17888,614
Q9V3U0,615
P32747,616
P52293,617
P52295,617
A9QM74,617
O00629,617
O00505,617
O35343,617
Q9LYT3,618
Q9UWY8,619
P04634,620
P80035,620
P38571,620
Q9Z0M5,620
Q64194,620
Q924U5,621
Q8VCT9,621
Q96S53,621
Q15569,621
Q63572,621
Q9VFK6,622
Q8N183,623
Q8WWF5,624
Q09196,625
Q9AQS0,626
P0AET8,627
P86215,628
Q9VIQ0,629
Q9SMS0,630
P24275,631
P0DMC5,632
Q94AP3,633
P0DOE7,634
Q09JZ4,635
P0AEY8,636
Q9W3N6,637
Q8LGI3,638
Q56221,639
A1L314,640
Q9WV57,640
Q5RBP9,640
Q2KJC3,640
Q2M385,640
P13466,641
Q9W0C1,642
P53806,643
Q5AK54,644
Q6P6V1,645
Q6DJR8,645
Q8NCW6,645
Q921L8,645
Q9NQC8,646
A2T2X4,646
Q04651,647
Q9D3A9,648
Q9H313,648
P25623,649
Q58487,650
P40940,651
P38116,651
P25160,651
P61212,651
P40616,651
P19146,651
P11076,651
Q9Y7Z2,651
P84078,651
Q10943,651
P26990,651
P84084,651
P61204,651
P18085,651
P61750,651
P61209,651
Q7KQL3,651
Q86XK7,652
Q02592,653
P16664,654
Q8NTR2,655
P43603,656
P32793,656
Q1EBV7,657
P00846,658
Q969D9,659
Q9XVN3,660
Q9M8S2,661
Q1PDW3,661
Q9FE20,661
Q6I5Q6,661
Q1PDV6,661
P0AEP3,662
P41835,663
Q13574,664
Q80UP3,664
O95544,665
Q9FVJ3,666
P53722,667
Q18321,668
A1YB07,669
Q9Y2J4,669
P69931,670
Q9Y5Z4,671
Q9NX47,672
P0ABD3,673
Q8VYW6,674
Q680I5,674
Q9M0G0,674
Q86YD3,675
J9VPD7,676
P15151,677
P32507,677
Q92692,677
Q9BW66,678
G5DBJ0,679
Q9FN50,679
Q3TYA6,680
Q99549,680
P00864,681
E1B7R9,682
Q00LT2,682
Q00LT1,682
Q8TBB1,683
O70263,683
P53196,684
O82171,685
Q9BXL6,686
O00258,687
P13838,688
P16150,688
E4TN31,689
P38297,690
Q12051,691
Q3UEZ8,692
Q96EP9,692
Q59UT5,693
P40048,694
Q12198,695
Q91ZR2,696
Q96RF0,696
Q9BVM4,697
Q9HYC5,698
P10127,699
P77218,700
O14132,701
O35469,702
P26150,702
P26439,702
Q62878,702
P22071,702
P26149,702
P27365,702
P24815,702
P27364,702
Q61767,702
P22072,702
Q60555,702
P14060,702
P34932,703
O88600,703
Q92598,703
Q61699,703
Q6UXB4,704
Q8BNX1,704
Q4KMP7,705
Q9C8M5,706
O43598,707
Q9S7P9,708
P19934,709
P26216,710
P38822,711
Q24940,712
P10090,713
Q9HKS9,714
Q8LD98,715
P14317,716
P81450,717
Q50L41,718
Q68DD2,718
Q9R1C6,719
P52429,719
P9WFF7,720
Q12030,721
Q9D0P7,722
Q6PGN9,722
P47160,723
Q9P270,724
O94609,725
P22515,725
P36076,726
Q15124,727
P36871,727
Q8BZF8,727
P00949,727
O94235,728
P0AFG6,729
Q8U4G1,730
Q5JFG9,730
P24377,731
B3KU38,732
P0DPB4,732
P0DPB3,732
A0A088MLT8,732
Q99NF1,733
Q8HXG8,733
Q9BYV7,733
Q6QT07,733
Q4QTJ1,734
Q00898,735
Q00896,735
P07758,735
P17475,735
P22599,735
Q00897,735
P01009,735
P20848,735
P38878,736
Q6WAY2,737
Q8TBJ4,737
O15524,738
Q9QX78,738
Q13608,739
P54777,739
Q99LC9,739
Q17R60,740
P0AFI5,741
Q8GWD2,742
Q9H244,743
Q9EPX4,743
Q9CPV9,743
P05458,744
Q8K4F0,745
Q15762,745
P25553,746
Q6DWK3,747
Q5VW38,748
Q86VW0,749
Q6RW13,750
Q9WVK0,750
O43242,751
Q08490,752
Q9M9E0,753
Q96GP6,754
P30551,755
P32238,755
O08786,755
P32239,755
P30553,755
O14558,756
P97541,756
P02510,756
P41316,756
P23928,756
P02511,756
P05811,756
Q05713,756
Q50LH4,757
B1NF19,757
Q9PU47,758
O70209,758
Q66HS7,758
Q53GG5,758
O70400,758
P52944,758
O00151,758
O04378,759
P93654,759
Q39233,759
Q3UPP8,760
Q96MT8,760
Q41008,761
P02974,762
P05431,762
Q01782,763
Q9SCY3,764
Q7XJ98,765
Q9QY42,766
O15354,766
O24767,767
Q8IMZ9,768
Q8CHT0,769
P30038,769
Q8IQG1,770
Q60855,771
Q13546,771
P01587,772
P04141,772
P11052,772
P48750,772
Q8BX02,773
Q63ZY3,773
O94505,774
Q659A1,775
Q6QA32,776
P43407,777
P38928,778
O17514,779
Q1RNF8,780
Q96NU1,780
P0AEW6,781
Q8CJH2,782
O75553,782
P97318,782
Q8IYB1,783
Q9SJX7,784
P40013,785
Q9CWH6,786
P22769,786
Q9Z2U0,786
O14818,786
P40303,786
Q7Z4G1,787
P28314,788
Q9DAG6,789
Q03224,790
Q6M6E7,790
P9WN21,790
O95968,791
Q8WV22,792
P35734,793
Q9JL99,794
Q9P126,794
Q9TRC7,795
P36633,795
Q8JZQ5,795
P19801,795
P91870,796
P12881,797
O23712,797
P18420,797
Q4WZ67,798
Q99417,799
P00785,800
Q5TB30,801
Q9M117,802
Q9BQ65,803
Q9UHY7,804
Q9LK35,805
Q9LX66,805
P0AD68,806
P32378,807
Q8TDX5,808
O53361,809
Q25077,810
O35671,811
O14713,811
Q3ZBM4,811
Q5R5S7,811
D4GYI2,812
A8BKD1,813
O60119,814
P76387,815
Q8TCE6,816
Q42533,817
Q9JHX3,818
Q9HBE5,818
Q9ZNQ8,819
Q9LV48,819
Q79FV4,820
Q9HA77,821
Q84ME1,822
Q9Y5W8,823
Q02205,824
O62138,825
O62137,825
O62140,825
P54107,826
Q8CIB9,827
Q56NI9,827
P45695,828
P45591,828
P23528,828
Q9Y281,828
P18760,828
Q9R0P5,828
P45593,828
P60981,828
P10668,828
P40462,829
Q7XIT1,830
Q08923,831
P56511,832
P00343,832
P00344,832
O32765,832
Q8VY16,833
Q09298,834
O30511,835
Q8IJR9,836
Q9UDY8,837
Q2TBA3,837
Q62522,838
Q9BS86,838
Q9ZT42,839
O42868,840
P53538,840
Q9DBN1,841
Q6LX42,842
Q88JU3,843
P21372,844
Q8N7H5,845
Q9BWX1,846
P32038,847
P03953,847
P00746,847
Q76L36,848
P35293,849
Q6DHC1,849
Q9NP72,849
P31358,850
Q2TBE0,851
A4FVP2,852
Q9LRZ6,852
Q9ZUH4,852
P83716,853
P77766,854
Q38909,855
Q53FA7,856
Q12982,857
O54940,857
Q86WG3,857
Q8BHE3,857
Q9VBV3,858
Q99L02,859
Q9BTK6,859
O43060,860
Q9D6D0,861
O95847,861
Q59771,862
O86308,863
Q86X51,864
O70601,865
O54957,865
O43561,865
Q9MZ03,866
P56528,866
P28907,866
Q5VAN0,866
Q9SYM2,867
P39848,868
O82318,869
Q9M199,870
Q8LPG9,870
Q9NAG4,871
Q9RHG4,872
Q96DM3,873
Q96GM1,874
Q582G4,875
P49017,876
P39111,877
Q16864,877
A2VD12,878
Q3TVI8,878
Q96AQ6,878
Q09460,879
P0A6K6,880
P0CP02,881
Q4P3S3,881
P18519,882
Q9Z0W1,882
P07174,882
P08138,882
P24387,883
P24388,883
Q28557,883
P0A6S5,884
F4I1S7,885
Q6CLY8,886
A0A1E3P8S6,886
Q7Z412,887
Q6NVY1,888
Q6PKX4,889
P48096,890
B4NJP3,891
B4JTF5,891
Q29AA9,891
B4G2I8,891
B3LV44,891
Q02936,891
B4R1D8,891
B4PN49,891
B3P7F8,891
B4HFB7,891
B4K4M0,891
B4LZT9,891
P56674,891
P38623,892
P10538,893
P82993,893
O65258,893
Q3LI59,894
Q925H4,894
P53618,895
P23514,895
Q9JIF7,895
P45437,895
P39726,896
Q07407,897
Q96T91,898
Q9NRL3,899
P58404,899
O43815,899
P70483,899
O55106,899
Q9ERG2,899
Q13033,899
P58405,899
Q9LIQ6,900
P0A794,901
Q8R139,902
Q7RTT9,902
A4D0H5,903
E9P162,903
Q9BRC7,904
Q62711,904
Q8K3R3,904
Q80ZQ9,905
P21529,906
O06428,907
P22817,908
Q9Y5K2,909
Q9Z0M1,909
Q9Y337,909
Q99K28,910
Q8N6H7,910
Q15070,911
P00893,912
Q6SJE0,913
Q6UXV0,913
Q6B516,914
P50583,915
Q5R5V4,916
O55222,916
Q3SWY2,916
Q13418,916
P57044,916
Q9TZC4,916
Q9Y6Y9,917
Q9JHF9,917
Q8ZR95,918
Q59385,918
P71451,919
Q7Z5R6,920
Q8R5A3,920
P9WIA1,921
P32744,922
O94614,923
P25385,924
Q7YQK3,925
Q9D659,926
